Tag Name,Tag Description,Tag Type,ABC Class,PSM Critical,Unit
MCC-PM-500A,DEETHANIZER REFLUX PUMP MCC,MCC,B,,
MCC-PM-705A,"CONDENSATE PUMP FOR E-705 A,B MCC",MCC,C,,
MCC-PM-801A,GHU-1 RECYCLE  PUMP MCC,MCC,A,,
MCC-PM-872A,WATER SURGE PUMPS MCC,MCC,A,,
MCC-XM-3300C,MOTOR MCC FOR X-3300C,MCC,B,,
MCC-ZM-2101-1B,Scraper drive B motor MCC,MCC,B,,
MCC-ZM-2163-1,POLYMER PREPARATION MIXER A MOTOR MCC,MCC,B,,
M-HV101,GIS IN MSS M-HV101,GIS,A,,
M-MV-1111,MSS MV SWGR FOR CCS PLANT 11KV LINE No.X,MV SWGR,A,,
M-MV-1117,MSS MV SWGR FOR BUS TIE UNIT M1,MV SWGR,A,,
M-MV-1119,MSS MV SWGR FOR PT BUS B UNIT M1,MV SWGR,C,,
M-MV-1120,MSS MV SWGR FOR INCOMING M1 11KV LINE2,MV SWGR,A,,
M-MV-1218,MSS MV SWGR FOR BUS TIE UNIT M2,MV SWGR,A,,
M-PTR-02,POWER TRANSFORMER IN MSS PTR-02,POWER TRANSFORMER,A,,
OCU-TEL,OCU TELEPHONE,TELEPHONE,B,,
PM-001A,PM-001A CONDENSATE PUMP FOR E001,MOTOR,C,,
PM-1210A,Motor for P-1210A,MOTOR,A,,
PM-206C,PM-206C QUENCH OIL PUMP,MOTOR,A,,
PM-2105B,SLUDGE  FEED PUMP B MOTOR,MOTOR,B,,
CM-835A,CM-835A GHU-2 RECYCLE GAS COMPRESSORS,MOTOR,A,,
PM-2052A,MOTOR FOR P-2052 A,MOTOR,B,,
PM-2052B,MOTOR FOR P-2052 B,MOTOR,B,,
CM-2050A,MOTOR FOR CM-2050A,MOTOR,A,,
CM-130A,CM-130A DECOKING AIR COMP,MOTOR,A,,
PM-1951A,MOTOR FOR P-1951 A,MOTOR,C,,
PM-1951B,MOTOR FOR P-1951 B,MOTOR,C,,
PM-3061,MOTOR FOR P-3061,MOTOR,B,,
PM-3351A,MOTOR FOR P-3351A,MOTOR,B,,
MCC-EM-870A,SRC CONDENSER MCC,MCC,A,,
MCC-EM-890A,TOLUENE CONDENSER MCC,MCC,A,,
MCC-PM-870A,SRC REFLUX PUMPS MCC,MCC,A,,
MCC-PM-880A,BENZENE REFLUX PUMPS MCC,MCC,B,,
MCC-PM-881B,Benzene Product Pumps MCC,MCC,B,,
5CM-2094-2B,MOTOR SOOT BLOWER at Boiler BANK,MOTOR,C,,
5LCS-PM-2051B,MOTOR LCS FOR P-2051 B,LCS,B,,
5LCS-PM-886B,Benzene Bottoms Pumps LCS,LCS,B,,
ADMIN-DG,ADMIN. GENERATOR,DIESEL GENERATOR,C,,
ADMIN-TR-01,ADMIN. TRANSFORMER,POWER TRANSFORMER,C,,
A-MCC01A,ARU LV MCC 690V E-L1A EOR PM INSPT,MCC,A,,
A-PB01,ARU  PANEL BOARD  FOR PM INSPT,PANEL BOARD,B,,
A-PB7E,ARU  PANEL BOARD  FOR PM INSPT,PANEL BOARD,B,,
ARU-HVAC,ARU HVAC,HVAC,A,,
CFU-FAR1-ELF,EMERGENCY LIGHTING  FAR-1,LIGHTING,C,,
CFU-VVVF,VVVF PANEL FOR FDF FOR INSPT,VARISPEED,A,,
CM-100B,CM-100B INDUCED DRAFT FAN B,MOTOR,A,,
CM-100F,CM-100F INDUCED DRAFT FAN F,MOTOR,A,,
CM-2094-14C,MOTOR SOOT BLOWER at SUPER HEATER,MOTOR,C,,
CM-2094-9A,MOTOR SOOT BLOWER at Economizer,MOTOR,C,,
CM-2094-9B,MOTOR SOOT BLOWER at Economizer,MOTOR,C,,
CM-2400B,MOTOR FOR C-2400 B,MOTOR,B,,
CM-2400C,MOTOR FOR C-2400 C,MOTOR,B,,
CM-2400F,MOTOR FOR C-2400 F,MOTOR,B,,
C-MV-2314,OCU MV SWGR FOR 11 KV INCOMING LINE1,MV SWGR,A,,
C-MV-2318,OCU MV SWGR FOR 11 KV INCOMING LINE2,MV SWGR,A,,
C-PB2BE,OCU  LT PANEL SUB-C EMER,PANEL BOARD,B,,
CP-E-762,OCU C2 Feed Treater Heater Control panel,ELECTRIC HEATER,A,,
CTU-2000-MOTOR-GP,BOILER MOTOR GROUP FOR PM INSPT,MOTOR,A,,
CTU-2210-MOTOR-GP,CONDENSATE MOTOR GROUP FOR PM INSPT,MOTOR,A,,
CTU-2600-MOTOR-GP,FLARE MOTOR GROUP  AREA FOR PM INSPT,MOTOR,A,,
CTU-ACS,CTU ACCESS CONTROL,ACCESS CONTROL,B,,
DW-IRB,DW INTERPOSING RELAY PANEL,IRP,A,,
DW-PB01E,DEMIN & COND. POLISHER EMER LIGHTING PB,PANEL BOARD,B,,
EM-860D,EM-860C EDC CONDENSER,MOTOR,A,,
EM-870G,EM-870G SRC CONDENSER,MOTOR,A,,
EM-870L,EM-870L SRC CONDENSER,MOTOR,A,,
EM-890A,EM-890A TOLUENE CONDENSER,MOTOR,A,,
EM-890B,EM-890A TOLUENE CONDENSER,MOTOR,A,,
E-MV-2213,MOTOR MV SWITCHGEAR FOR PM-540A,MV SWGR,A,,
E-MV-2227,ORU MV SWGR FOR F-TR02,MV SWGR,A,,
E-MV-2229,MOTOR MV SWITCHGEAR FOR PM-206B,MV SWGR,A,,
E-PB1A,ORU  LT PANEL Quenching,PANEL BOARD,B,,
E-PB4A,ORU  LT PANEL Fractionation 2,PANEL BOARD,B,,
F-BD-01,CFU BUS DUCT TR-01,BUS DUCT,A,,
F-DB02E,CFU LV DISTRIBUTION BOARD  380V EMER,PANEL BOARD,A,,
F-PB24E,CFU  LT PANEL FAR-1 EMER,PANEL BOARD,B,,
ISBL-C-400-LF,CHILLING TRAIN&C1 TRAIN LIGHTING,LIGHTING,C,,
ISBL-C-500-LF,C2 TRAIN SYSTEM LIGHTING,LIGHTING,C,,
ISBL-H-0100-LF,FURNANCE LIGHTING,LIGHTING,C,,
ISBL-H-0200-WO-GP,QUENCH SYSTEM WELDING OUTLET GROUP,RECEPTACLE,C,,
ISBL-O-700-LF,OLEFINS CONVERSION SYSTEM LIGHTING,LIGHTING,C,,
LCS-CM-100F,INDUCED DRAFT FAN F LCS,LCS,A,,
LCS-CM-2094-13A,MOTOR LCS SOOT BLOWER at SUPER HEATER,LCS,C,,
LCS-CM-2094-2A,MOTOR LCS SOOT BLOWER at Boiler BANK,LCS,C,,
LCS-CM-2094-7B,MOTOR LCS SOOT BLOWER at Economizer,LCS,C,,
LCS-CM-2094-8A,MOTOR LCS SOOT BLOWER at Economizer,LCS,C,,
LCS-CM-2094-9B,MOTOR LCS SOOT BLOWER at Economizer,LCS,C,,
LCS-CM-2101A,AIR COMPRESSOR A MOTOR LCS,LCS,B,,
LCS-CM-3301B,MOTOR LCS FOR C-3301B,LCS,C,,
LCS-CM-835A,GHU-2 RECYCLE GAS COMPRESSORS LCS,LCS,A,,
LCS-EM-850C,DEOCTANIZER CONDENSER LCS,LCS,A,,
LCS-EM-870A,SRC CONDENSER LCS,LCS,A,,
LCS-EM-870D,SRC CONDENSER LCS,LCS,A,,
LCS-EM-870I,SRC CONDENSER LCS,LCS,A,,
LCS-PM-1550B,PM-1550B TOLUENE EXPORT PUMP B LCS,LCS,B,,
LCS-PM-2102B,TREATED WATER PUMP B MOTOR LCS,LCS,B,,
LCS-PM-2103B,BELT WASH PUMP B MOTOR LCS,LCS,B,,
LCS-PM-2106A,RECOVERY WATER PUMP A MOTOR LCS,LCS,B,,
LCS-PM-2162B,ALUM DOSING PUMP B MOTOR LCS,LCS,B,,
LCS-PM-2163 C,POLYMER DOSING PUMP I C MOTOR LCS,LCS,B,,
LCS-PM-2263A,NaOH PUMP FOR CONDENSATE POLISHER A,LCS,B,,
LCS-PM-2402B,MOTOR LCS FOR P-2402 B,LCS,C,,
LCS-PM-2415A,MOTOR LCS FOR P-2415 A,LCS,B,,
LCS-PM-2417A,MOTOR LCS FOR P-2417 A,LCS,C,,
LCS-PM-2601B,Motor LCS for P-2601B,LCS,C,,
LCS-PM-301A,C.G 1ST STAGE SUCTION DRUM PUMP LCS,LCS,B,,
LCS-PM-3041,MOTOR LCS FOR P-3041,LCS,B,,
LCS-PM-3060A,MOTOR LCS FOR P-3060A,LCS,C,,
LCS-PM-3071A,MOTOR LCS FOR P-3071 A,LCS,B,,
LCS-PM-3200A,CAUSTIC MAKE UP PUMP LCS,LCS,B,,
LCS-PM-3201B,SPENT CAUSTIC GASOLINE CIR. PUMP LCS,LCS,B,,
LCS-PM-365A,"CONDENSATE PUMP FOR E-365A,B LCS",LCS,C,,
LCS-PM-4001A,MOTOR LCS FOR P-4001,LCS,,,
LCS-PM-4001B,MOTOR LCS FOR P-4001,LCS,C,,
LCS-PM-500B,DEETHANIZER REFLUX PUMP LCS,LCS,B,,
LCS-PM-540B,C2 TOWER REFLUK PUMP LCS,LCS,A,,
LCS-PM-701A,RAW C4 PRODUCT PUMP LCS,LCS,B,,
LCS-PM-722B,SHU 1STSTAGE RECYCLE/EFFLUENT PUMPS MCC,LCS,B,,
LCS-PM810B,DEPENTANIZER REFLUX  PUMPS LCS,LCS,B,,
LCS-PM-856A,DEOCTANIZER BOTTOM PUMPS LCS,LCS,B,,
LCS-PM-877,PLANT SOLVENT TANK PUMP LCS,LCS,C,,
LCS-PM-880A,BENZENE REFLUX PUMPS LCS,LCS,B,,
LCS-XM-3071,MOTOR LCS FOR X-3071,LCS,A,,
LCS-XM-3082,MOTOR LCS FOR X-3082,LCS,B,,
LCS-XM-3300B,MOTOR LCS FOR X-3300B,LCS,B,,
LCS-XM-3310D,MOTOR LCS FOR X-3310D,LCS,B,,
LCS-ZM-2101-2B,Recirculation dirve B motor LCS,LCS,B,,
LCS-ZM-2163-1,POLYMER PREPARATION MIXER A MOTOR LCS,LCS,B,,
MCC-CM-120R,INDUCED DRAFT FAN R  MCC,MCC,A,,
MCC-CM-2094-6C,MOTOR MCC SOOT BLOWER at Boiler BANK,MCC,C,,
MCC-CM-2094-7A,MOTOR MCC SOOT BLOWER at Economizer,MCC,C,,
MCC-CM-2400O,MOTOR MCC FOR C-2400 O,MCC,B,,
MCC-EM-851B,C6-C8 CUT COOLER MCC,MCC,A,,
MCC-EM-880C,BENZENE CONDENSER MCC,MCC,A,,
MCC-EM-890B,TOLUENE CONDENSER MCC,MCC,A,,
MCC-PM-001A,CONDENSATE PUMP FOR E001 MCC,MCC,C,,
MCC-PM-1620B,PM-1620B CKB FEED TO BOILER PUMP B MCC,MCC,B,,
MCC-PM-2021B-P1B,MOTOR MCC FOR P-2021B-P1B,MCC,B,,
MCC-PM-2161A,NaOCl DOSING PUMP A MOTOR MCC,MCC,B,,
MCC-PM-2253B,HCL for CONDENSATE POLISHER B MOTOR MCC,MCC,B,,
MCC-PM-2264B,NaOH METERING PUMP FOR NWP B MOTOR MCC,MCC,B,,
MCC-PM-2265A,NaOH METERING PUMP FOR ORU A MOTOR MCC,MCC,B,,
MCC-PM-2300B,POTABLE WATER PUMP B MOTOR MCC,MCC,C,,
MCC-PM-3071A,MOTOR MCC FOR P-3071 A,MCC,B,,
MCC-PM-3400,CGC WASH GASOLINE PUMP MCC,MCC,B,,
MCC-PM-380B,C.G ABSORBER REFLUX PUMP MCC,MCC,B,,
MCC-PM-4000A,MOTOR MCC  FOR P-4000A,MCC,C,,
MCC-PM-700A,DEBUTANIZER REFLUX PUMP MCC,MCC,B,,
MCC-XM-3070,MOTOR MCC FOR X.3070,MCC,B,,
MCC-XM-3300A,MOTOR MCC FOR X-3300A,MCC,B,,
MCC-ZM-2101-1A,Scraper drive A motor MCC,MCC,B,,
MCC-ZM-2152,MOTOR OF CAKE HOPPER MCC,MCC,C,,
M-HV201,GIS IN MSS M-HV201,GIS,A,,
M-MV-1121,MSS MV SWGR FOR M-PC02,MV SWGR,C,,
M-MV-1225,MSS MV SWGR FOR ARU 11KV LINE No.2,MV SWGR,A,,
OCU-CP,OCU CATHODIC PROTECTION,CATHODIC,B,,
OCU-G,OCU GROUNDING,GROUND,A,,
OCU-PB,OCU PANEL BOARD,PANEL BOARD,B,,
ORU-EHEATER,Electric heater E-941,ELECTRIC HEATER,A,,
ORU-LN,ORU LIGHTNING,LIGHTNING,A,,
ORU-MCC,ORU LV MCC FOR PM INSPT,MCC,A,,
PM-1010A,Motor for P-1010A,MOTOR,A,,
PM-1410,Motor for P-1410,MOTOR,A,,
PM-2051B,MOTOR FOR P-2051 B,MOTOR,B,,
PM-2102A,TREATED WATER PUMP A MOTOR,MOTOR,B,,
PM-217A,PM-217A PYROLYSIS FUFL OIL PRODUCT PUMP,MOTOR,A,,
PM-2201D,TREATED WATER FEED PUMP D MOTOR,MOTOR,C,,
PM-2252B,HCl METERING PUMP II B MOTOR,MOTOR,B,,
PM-2400C,MOTOR FOR P-2400C,MOTOR,B,,
PM-2402A,MOTOR  FOR P-2402 A,MOTOR,C,,
XM-3076,MOTOR FOR X-3076,MOTOR,B,,
PM-2023A,MOTOR FOR P-2023 A,MOTOR,B,,
PM-3070A,MOTOR FOR P-3070 A,MOTOR,B,,
PM-3072A,MOTOR FOR P-3072 A,MOTOR,B,,
PM-3350B,MOTOR FOR P-3350B,MOTOR,B,,
XM-3300D,MOTOR FOR X-3300D,MOTOR,B,,
MCC-EM-870E,SRC CONDENSER MCC,MCC,A,,
A-LV01A,ARU LV SWGR FOR 690V INCOMING BUS A,LV SWGR,A,,
A-MV-2412,MOTOR MV SWGR FOR CM-835A,MV SWGR,A,,
A-MV-2418,ARU MV SWGR FOR 11 KV INCOMING LINE2,MV SWGR,A,,
A-PB05E,ARU  PANEL BOARD  FOR PM INSPT,PANEL BOARD,B,,
ARU-FDT,FLAME DETECTOR ARU,FLAME DETECTOR,A,,
A-TR-04,ARU DISTRIBUTION TR-04,DISTRIBUTION TRANSFORMER,A,,
C-DB02E,OCU LV DISTRIBUTION BOARD  380V EMER,PANEL BOARD,A,,
CFU-CP,CFU CATHODIC PROTECTION,CATHODIC,B,,
CFU-FAR1-HVAC,CFU FAR1 HVAC,HVAC,A,,
CFU-G,CFU GROUNDING,GROUND,A,,
CM-120R,CM-120R INDUCED DRAFT FAN R,MOTOR,A,,
CM-130B,CM-130B DECOKING AIR COMP,MOTOR,A,,
CM-2094-10A,MOTOR SOOT BLOWER at Economizer,MOTOR,C,,
CM-2094-11A,MOTOR SOOT BLOWER at Economizer,MOTOR,C,,
CM-2094-14A,MOTOR SOOT BLOWER at SUPER HEATER,MOTOR,C,,
CM-2203B,NEUTRALIZATION BLOWER B MOTOR,MOTOR,B,,
CM-2400K,MOTOR FOR C-2400 K,MOTOR,B,,
CM-2400M,MOTOR FOR C-2400 M,MOTOR,B,,
CM-3200B,CM-3200B SPENT OXIDATION AIR COMPR,MOTOR,B,,
CM-3200B-P1B,CM-3200A-P1B STAND-BY LO PUMP,MOTOR,B,,
C-PB1BE,OCU  LT PANEL  EMER,PANEL BOARD,B,,
C-PB1DE,OCU  LT PANEL  EMER,PANEL BOARD,B,,
CTU-2200-AC,AIR COND IN DW AREA,HVAC,C,,
CTU-2500-LCS-GP,BOILER FUEL LCS GROUP FOR PM INSPT,LCS,A,,
CTU-2500-MOTOR-GP,BOILER FUEL MOTOR GROUP FOR PM INSPT,MOTOR,A,,
CTU-2600-LCS-GP,FLARE LCS GROUP FOR PM INSPT,LCS,A,,
CTU-2600-WO,WELDING OUTLET IN FLARE AREA,RECEPTACLE,C,,
CTU-DB,CTU LV DISTRIBUTION BOARD,PANEL BOARD,A,,
CTU-JE-4000-1,OVERHEAD CRANE 15 TONS FOR PM INSPT,CRANE,A,,
CTU-MV-GP,CTU MV SWGR FOR PM INSPT,MV SWGR,A,,
E-BD-02,ORU BUS DUCT TR-02,BUS DUCT,A,,
EM-831C,EM-831C GHU-2 EFFLUENT AIR CONDENSER,MOTOR,B,,
EM-870D,EM-870D SRC CONDENSER,MOTOR,A,,
EM-870J,EM-870J SRC CONDENSER,MOTOR,A,,
EM-880A,EM-880A BENZENE CONDENSER,MOTOR,A,,
E-MCC02B,ORU LV MCC 690V E-L1B FOR PM INSPT,MCC,A,,
E-MV-2214,MOTOR MV SWITCHGEAR FOR PM-426B,MV SWGR,A,,
E-MV-2224,ORU MV SWGR FOR BUS-B PT,MV SWGR,A,,
E-PB1F,ORU  RECEPT   PANEL Quenching,PANEL BOARD,B,,
F-PB06,CFU  RECEPT PANEL    H-100B,PANEL BOARD,B,,
ISBL-H-0200-LF,QUENCH SYSTEM LIGHTING,LIGHTING,C,,
LCP-CM-2094-A,SOOT BLOWER CONTROL PANEL AT BOILER A,LCPANEL,C,,
LCS-CM-100E,INDUCED DRAFT FAN E LCS,LCS,A,,
LCS-CM-2094-1A,MOTOR LCS SOOT BLOWER at Boiler BANK,LCS,C,,
LCS-CM-2094-2C,MOTOR LCS SOOT BLOWER at Boiler BANK,LCS,C,,
LCS-CM-2094-5B,MOTOR LCS SOOT BLOWER at Boiler BANK,LCS,C,,
LCS-CM-2094-8B,MOTOR LCS SOOT BLOWER at Economizer,LCS,C,,
LCS-CM-3200A,SPENT OXIDATION AIR COMPR LCS,LCS,B,,
LCS-EM-851B,C6-C8 CUT COOLER LCS,LCS,A,,
LCS-EM-870G,SRC CONDENSER LCS,LCS,A,,
LCS-EM-870J,SRC CONDENSER LCS,LCS,A,,
LCS-EM-880D,BENZENE CONDENSER LCS,LCS,A,,
LCS-PM-1010A,PM-1010A TFU NAPHTHA FEED PUMP A LCS,LCS,A,,
LCS-PM-1210B,PM-1210B Motor driven for P-1210B LCS,LCS,A,,
LCS-PM-1210C,PM-1210C HP ETHYLENE EXPORT PUMP C LCS,LCS,A,,
LCS-PM-1610B,PM-1610B CKB EXPORT PUMP B LCS,LCS,C,,
LCS-PM-1620B,PM-1620B CKB FEED TO BOILER PUMP B LCS,LCS,B,,
LCS-PM-2010A,MOTOR LCS FOR PM-2010A,LCS,B,,
LCS-PM-2021A-P1B,MOTOR LCS FOR P-2021A-P1B,LCS,B,,
LCS-PM-2051A,MOTOR LCS FOR P-2051 A,LCS,B,,
LCS-PM-2100A,TREATED WATER PUMP FOR COOLING WATER A,LCS,B,,
LCS-PM-2162 C,ALUM DOSING PUMP C MOTOR LCS,LCS,B,,
LCS-PM-2163B,POLYMER DOSING PUMP I B MOTOR LCS,LCS,B,,
LCS-PM-216B,PYROLYSIS GASL OIL PRODUCT PUMP LCS,LCS,B,,
LCS-PM-217B,PYROLYSIS FUEL OIL PRODUCT PUMP LCS,LCS,A,,
LCS-PM-2201D,TREATED WATER FEED PUMP D MOTOR LCS,LCS,C,,
LCS-PM-2203B,REGENERATION PUMP B MOTOR LCS,LCS,B,,
LCS-PM-2205A,NEUTRALIZATION PUMP A MOTOR LCS,LCS,B,,
LCS-PM-2261A,NaOH METERING PUMP I A MOTOR LCS,LCS,B,,
LCS-PM-2262B,NaOH METERING PUMP II B MOTOR LCS,LCS,B,,
LCS-PM-2400E,MOTOR LCS FOR P-2400E,LCS,B,,
LCS-PM-2416B,MOTOR LCS FOR P-2416 B,LCS,B,,
LCS-PM-3032A,PM-3032A OILY WATER PUMP B LCS,LCS,B,,
LCS-PM-3076A,MOTOR LCS FOR P-3076 A,LCS,C,,
LCS-PM-3082A,MOTOR LCS FOR P-3082 A,LCS,C,,
LCS-PM-326A,DISLLATE STRIPPER BOTTOM PUMP LCS,LCS,B,,
LCS-PM-3360B,MOTOR LCS FOR P-3360B,LCS,B,,
LCS-PM-3400,CGC WASH GASOLINE PUMP LCS,LCS,B,,
LCS-PM-344A,STRONG CAUSTIC CIRCULATION PUMP LCS,LCS,B,,
LCS-PM-521A,"CONDENSATE PUMP FOR E-521 A,B LCS",LCS,C,,
LCS-PM-540A,C2 TOWER REFLUK PUMP LCS,LCS,A,,
LCS-PM-601A,DEPROPANIZER NET OVERHEAD PUMP LCS,LCS,B,,
LCS-PM-678,EMERGENCY OIL PUMP LCS,LCS,B,,
LCS-PM-770A,DEETHY REFLUX/C2 RECY.PUMP LCS,LCS,B,,
LCS-PM-960,HYDROCARBON SUMP PUMPS LCS,LCS,B,,
MCC-CM-100B,INDUCED DRAFT FAN B MCC,MCC,A,,
MCC-CM-2094-10A,MOTOR MCC SOOT BLOWER at Economizer,MCC,C,,
MCC-CM-2094-1A,MOTOR MCC SOOT BLOWER at Boiler BANK,MCC,C,,
MCC-CM-2094-1C,MOTOR MCC SOOT BLOWER at Boiler BANK,MCC,C,,
MCC-CM-2094-5A,MOTOR MCC SOOT BLOWER at Boiler BANK,MCC,C,,
MCC-CM-2094-9A,MOTOR MCC SOOT BLOWER at Economizer,MCC,C,,
MCC-CM-2094-9C,MOTOR MCC SOOT BLOWER at Economizer,MCC,C,,
MCC-PM-1561A,PM-1561A MIXED XYLENE EXPORT PUMP A MCC,MCC,B,,
MCC-PM-2052A,MOTOR MCC FOR P-2052 A,MCC,B,,
MCC-PM-2100B,TREATED WATER PUMP FOR COOLING WATER B,MCC,B,,
MCC-PM-2106A,RECOVERY WATER PUMP A MOTOR MCC,MCC,B,,
MCC-PM-2162 C,ALUM DOSING PUMP C MOTOR MCC,MCC,B,,
MCC-PM-2201A,TREATED WATER FEED PUMP A MOTOR MCC,MCC,C,,
MCC-PM-2205B,NEUTRALIZATION PUMP B MOTOR MCC,MCC,B,,
MCC-PM-2252A,HCl METERING PUMP II A MOTOR MCC,MCC,B,,
MCC-PM-226A-P1B,PM226-P1B LUBE OIL PUMP MCC,MCC,B,,
MCC-PM-2410B,MOTOR MCC FOR P-2410B,MCC,B,,
MCC-PM-302A,DISRILLATION STRIPPER FEED PUMP MCC,MCC,B,,
MCC-PM-3031B,PM-3031B OILY WATER PUMP B MCC,MCC,C,,
MCC-PM-3070B,MOTOR MCC FOR P-3070 B,MCC,C,,
MCC-PM-3340B,MOTOR MCC FOR P-3340B,MCC,B,,
MCC-PM-344A,STRONG CAUSTIC CIRCULATION PUMP MCC,MCC,B,,
MCC-PM-4002A,MOTOR MCC FOR P-4002 A,MCC,,,
MCC-PM-520A,C2 GREEN OIL SCRUBBER REFLUX PUMP MCC,MCC,B,,
MCC-PM-520B,C2 GREEN OIL SCRUBBER REFLUX PUMP MCC,MCC,B,,
MCC-PM-600A,DEPROPANIZER REFLUX PUMP MCC,MCC,B,,
MCC-PM-650B,MCC FOR MOTOR PM-650B,MCC,A,,
MCC-PM-706A,DEBUTANIZER BOTTOM PUMP MCC,MCC,B,,
MCC-PM-770A,DEETHY REFLUX/C2 RECY.PUMP MCC,MCC,B,,
MCC-PM-837A,AUX.LUBE QATER PUMP MCC,MCC,C,,
MCC-PM-856B,DEOCTANIZER BOTTOM PUMPS MCC,MCC,B,,
MCC-PM-866A,EDC BOTTOM PUMPS MCC,MCC,B,,
MCC-PM-960,HYDROCARBON SUMP PUMPS MCC,MCC,B,,
M-MV-GP,MSS MV SWGR FOR PM INSPT,MV SWGR,A,,
M-NGR,NGR IN SUB M,NGR,A,,
OCU-BD,OCU LV BUSDUCT FOR PM INSPT,BUS DUCT,A,,
OCU-ING,OCU INERGEN SYSTEM,INERGEN,A,,
ORU-INT,ORU INTERCOM,INTERCOM,B,,
ORU-TR-GP,ORU DISTRIBUTION TR FOR PM INSPT,DISTRIBUTION TRANSFORMER,A,,
PM-1010D,Motor for P-1010D,MOTOR,A,,
PM-1530B,Motor for P-1530B,MOTOR,B,,
PM-1561B,Motor for P-1561B,MOTOR,B,,
PM-2022A,MOTOR FOR P-2022 A,MOTOR,C,,
PM-202B,PM-202B QUENCH OIL DRAIN DRUM PUMP,MOTOR,B,,
PM-2162B,ALUM DOSING PUMP B MOTOR,MOTOR,B,,
PM-2163B,POLYMER DOSING PUMP I B MOTOR,MOTOR,B,,
PM-2200B,DEMINERALIZED WATER PUMP MOTOR,MOTOR,B,,
PM-2251B,HCl METERING PUMP I B MOTOR,MOTOR,B,,
PM-2400B-P1 B,MOTOR FOR P-2400B-P1B,MOTOR,C,,
PM-246B,PM-246B DILUTION STEAM DRUM FEED PUMP,MOTOR,B,,
PM-302A,PM-302A DISTILLATION STRIPPER FEED PUMP,MOTOR,B,,
PM-3032B,PM-3032B OILY WATER PUMP B,MOTOR,B,,
PM-3200A,PM-3200A CAUSTIC MAKE UP PUMP,MOTOR,B,,
PM-3201A,PM3201A SPENT CAUSTIC GASOLINE CIR. PUMP,MOTOR,B,,
PM-3202A,PM-3202A SPENT CAUSTIC FEED PUMP,MOTOR,B,,
PM-2020C,MOTOR FOR P-2020C,MOTOR,B,,
XM-3082,MOTOR FOR X-3082,MOTOR,B,,
PM-3076B,MOTOR FOR P-3076 B,MOTOR,C,,
PM-3078A,MOTOR FOR P-3078 A,MOTOR,C,,
PM-3320B,MOTOR FOR P-3320B,MOTOR,B,,
PM-3341A,MOTOR FOR P-3341A,MOTOR,B,,
PM-3343B,MOTOR FOR P-3343B,MOTOR,C,,
XM-3370A,SLUDGE DEWATERING UNIT A,MOTOR,B,,
MCC-EM-850E,DEOCTANIZER CONDENSER MCC,MCC,A,,
MCC-PM-811B,C5 PRODUCT PUMPS MCC,MCC,B,,
MCC-PM-856A,DEOCTANIZER BOTTOM PUMPS MCC,MCC,B,,
MCC-PM-871A,SRC WATER PUMPS MCC,MCC,A,,
ADMIN-FA,ADMIN. FIRE ALARM,FIRE ALARM,C,,
A-MV-2414,ARU MV SWGR FOR 11 KV INCOMING LINE1,MV SWGR,A,,
A-MV-2416,ARU MV SWGR FOR BUS TIE,MV SWGR,A,,
A-MV-2421,MOTOR MV SWGR FOR PM-876A,MV SWGR,B,,
A-MV-2422,MOTOR MV SWGR FOR PM-801B,MV SWGR,A,,
A-PB04,ARU  PANEL BOARD  FOR PM INSPT,PANEL BOARD,B,,
ARU-BC,ARU BATTERY CHARGER,BATTERY CHARGER (BC),A,,
ARU-MCC,ARU LV MCC FOR PM INSPT,MCC,A,,
ARU-TR-GP,ARU DISTRIBUTION TR FOR PM INSPT,DISTRIBUTION TRANSFORMER,A,,
C-BC02,"OCU BATT CHARGER 24V IE,F&G PANEL",BATTERY CHARGER (BC),A,,
C-LV-E711,OCU LV SWGR FOR E-711,MCC,A,,
CM-2094-12B,MOTOR SOOT BLOWER at Economizer,MOTOR,C,,
CM-2094-14B,MOTOR SOOT BLOWER at SUPER HEATER,MOTOR,C,,
CM-2094-3A,MOTOR SOOT BLOWER at Boiler BANK,MOTOR,C,,
CM-2094-5B,MOTOR SOOT BLOWER at Boiler BANK,MOTOR,C,,
CM-2201B,DEGASIFIER FAN B MOTOR,MOTOR,B,,
CM-2400H,MOTOR FOR C-2400 H,MOTOR,B,,
CM-3200A,CM-3200A SPENT OXIDATION AIR COMPR,MOTOR,B,,
CM-3200A-P1B,CM-3200A-P1B STAND-BY LO PUMP,MOTOR,B,,
C-MCC01B,OCU LV MCC 690V C-L1B COR PM INSPT,MCC,A,,
C-PB1C,OCU  LT PANEL,PANEL BOARD,B,,
CTU-2800-MOTOR-GP,AIR&NITROGEN MOTOR GROUP FOR PM INSPT,MOTOR,A,,
CTU-4000-LF,LIGHTING IN FIRE WATER PUMP AREA,LIGHTING,C,,
CTU-PE-4003A-CP,PE-4003A CONTROL PANEL FOR PM INSPT,DIESEL GENERATOR,A,,
CTU-PE-4003B-CP,PE-4003B CONTROL PANEL FOR PM INSPT,DIESEL GENERATOR,A,,
E-LV02B,ORU LV SWGR FOR 690V INCOMING BUS B,LV SWGR,A,,
EM-831A,EM-831A GHU-2 EFFLUENT AIR CONDENSER,MOTOR,B,,
EM-880B,EM-880B BENZENE CONDENSER,MOTOR,A,,
E-MV-2220,ORU MV SWGR FOR OCU LINE#1,MV SWGR,A,,
E-MV-2230,MOTOR MV SWITCHGEAR FOR PM-226C,MV SWGR,A,,
