Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
TT-1750,,TEMPERATURE TRANSMITTER,Y,,,,Yokogawa,YTA320,,,,A
FV-1750,FUEL GAS FROM PTT,GLOBE CONTROL VALVE,Y,,FUEL GAS FROM PTT,"12""-FG-17009-B13A",,,,46,65,A
PG-2020,LC1 from F-9657 for PP#3,PRESSURE GAUGE,,,LC1 from F-9657 for PP#3,"3""-LC1-20005-A12A-P",ASHCROFT,T5500,,9,180,
HZC-1723,HP STEAM TO DOWNSTREAM PLANT,CONTROL VALVE POSITION,,,HP STEAM TO DOWNSTREAM PLANT,"6""HS 17002-D11T-H",*,*,,,,
PSV-2030A,MS2 STEAM HEADER,PRESSURE SAFETY VALVE,Y,,MS2 STEAM HEADER,"18""-MS2-20046-B12T-H",CHEIL,,,,420,C
LG-2001B,,LEVEL GAUGE,N,,,,AEE,,,540,350,C
PG-2006A,SHP BFP A Lesk off Pressure,PRESSURE GAUGE,N,,SHP BFP A Lesk off Pressure,"6""-BFW20254-20-D11T-H",WIKA,Type 232.30,,190,200,C
PG-2006B,SHP BFP B Leak off Pressure,PRESSURE GAUGE,N,,SHP BFP B Leak off Pressure,"6""-BFW20242-10-F11T-H",WIKA,Type 232.30,,190,200,C
PG-2015C,MP BFW C Discharge Pressure,PRESSURE GAUGE,N,,MP BFW C Discharge Pressure,"12""-BFW20201-11-B12A-H",WIKA (SNM Supply),Type 232.50,,21.4,200,C
PSV-2011,Polished Condensate/demin. Water,PRESSURE SAFETY VALVE,Y,,Polished Condensate/demin. Water,,Anderson Greenwood C,9611111D,,14,150,C
PY-2195A,ON LS2 HEADER,DESUPERHEAT,,,ON LS2 HEADER,,,,,,,
TT-2010,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
AT-2009,,MAIN ANALYZER,Y,,Low Steam Condensate,"6"" SSC 20011-10-A12A-P",,,,,,B
HZO-2002A,,OTHER INSTRUMENT,,,,,AEE,,,,,
PSV-2015A,Cooling Water,PRESSURE SAFETY VALVE,Y,,Cooling Water,,Anderson Greenwood C,9611011D,,8,250,C
FT-1750,FUEL GAS FROM PTT,VORTEX,Y,,FUEL GAS FROM PTT,"12""-FG-17009-B13A",Yokogawa,,,46,65,A
PG-2019,LC1 from F-6958 for HD#4,PRESSURE GAUGE,,,LC1 from F-6958 for HD#4,"6""-LC1-20006-A12A-P",ASHCROFT,T5500,,9,180,
PV-2192,ON SS HEADER,GLOBE CONTROL VALVE,,,ON SS HEADER,"12""SS 20002-G11E-H",SAMSON,Z-STYLE,,140.3,530,
HV-1723,HP STEAM TO DOWNSTREAM PLANT,BALL ON-OFF VALVE,Y,,HP STEAM TO DOWNSTREAM PLANT,"6""HS 17002-D11T-H",Tyco,E1108M-62ZX,,46,420,C
HEV-2010,0,JUNCTION BOX,,,HS TO F-6952 FOR HD#4,,CHEIL,,,,,
TV-2014,,BUTTERFLY CONTROL VALVE,,,,,,,,,,
PSV-2008C,LP1 Steam,PRESSURE SAFETY VALVE,Y,,LP1 Steam,,Anderson Greenwood C,8 T 10 JOS-H-E-35-C,,5.5,350,C
HZO-2005A,MP Condensate (MC2),OTHER INSTRUMENT,,,MP Condensate (MC2),,AEE,,,,,
AT-2005,,MAIN ANALYZER,Y,,Medium Steam Condensate,"10"" MC2 20003-10-B12A-H",,,,,,B
PG-2004C,MP BFP C Suction Pressure,PRESSURE GAUGE,N,,MP BFP C Suction Pressure,"16""-BFW20252-10-A12A-H",WIKA (SNM Supply),Type 232.50,,5.5,350,C
PSV-2005A,Boiler Feed Water,PRESSURE SAFETY VALVE,Y,,Boiler Feed Water,,Anderson Greenwood C,1 D 2 JLT-JOS-E-35-C,,24,200,C
PSV-2005B,Boiler Feed Water,PRESSURE SAFETY VALVE,Y,,Boiler Feed Water,,Anderson Greenwood C,1 D 2 JLT-JOS-E-35-C,,24,200,C
HV-2006A,,BALL ON-OFF VALVE,Y,,,,,,,16,245,
HV-2006B,,BALL ON-OFF VALVE,Y,,,,,,,16,245,
TT-2004,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
PSV-2006B,,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,3 M 6 HSJ-36,,21,373,C
FT-2005B,SHP BFP Turbine B Steam Flow,DIFF. PRESSURE,Y,,SHP BFP Turbine B Steam Flow,"8""-HS 20564-32-D11T-H",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1/C3,,46.2,420,A
TT-2012A,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
FT-2007,HP Steam Let down Station Flow,DIFF. PRESSURE,Y,,HP Steam Let down Station Flow,"12""-MS 120572-20-B12T-H",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1/C3,,21,350,A
PSV-2001C,,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,4 N 6 JOS-H-E-35-C,,,,C
TV-2001,,GLOBE CONTROL VALVE,Y,,,,,,,46.2,200,
PT-2005B,0,PRESSURE TRANSMITTER,,,,,,,,,,
PV-2031,,GLOBE CONTROL VALVE,Y,,,,,,,95,200,A
PSV-2002A,LP1 Steam,PRESSURE SAFETY VALVE,Y,,LP1 Steam,,Anderson Greenwood C,6 Q 8 JOS-H-E-15-C,,7,300,C
PG-2090,HP STEAM FROM CTU,PRESSURE GAUGE,,,HP STEAM FROM CTU,"12""HS 20720-D11T-H-100",WIKA,232.30.100,,46.2,420,
HEV-2101A,Water,CONTROL VALVE POSITION,,,Water,,,,,,,
HZC-2101B,Water,CONTROL VALVE POSITION,,,Water,,,,,,,
PSV-2106,Angle filled system temp reg,PRESSURE SAFETY VALVE,,,Air,,NCD,A3WL,,10,185,
PG-2104A,Treated water,PRESSURE GAUGE,N,,Treated water,"16""-TW-24003-A11A",ASHCROFT,100-T5500-SL-04L-0/6 Kg/cm2-XGR-NH-SG,,6,37,C
PG-2104B,Treate water pump make up cooling B discharge line,PRESSURE GAUGE,N,,Treate water pump make up cooling B discharge line,"16""TW 24002 A11A",ASHCROFT,100-T5500-SL-04L-0/6 Kg/cm2-XGR-NH-SG,,6,37,C
HZC-2009,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PSV-2012,Posished Condensate/demin. Water,PRESSURE SAFETY VALVE,Y,,Posished Condensate/demin. Water,,Anderson Greenwood C,9611111D,,14,95,C
TG-2001,LP Condensate Vent Condenser Outlet Temperature,TEMPERATURE GAUGE,N,,LP Condensate Vent Condenser Outlet Temperature,"10""-RCW24004-10-A11A",WIKA,S5550,,8,75,C
FT-2203A,Inlet Line A/C filter tank No. A/B,DIFF. PRESSURE,,,Inlet Line A/C filter tank No. A/B,"8""-SSC 22003-A12A",Yokogawa,DY200-EBLBA1-2D/KF1/X1/WP/OT/A/T02/PM2/Z,,9,80,
TG-2203,Cooling water outlet for Condensate temperature gaug,TEMPERATURE GAUGE,N,,Cooling water outlet for Condensate temperature gaug,"12""-RCW22001-A11A",ASHCROFT,100-AM-070-E-351-0/100'C-NH,,8,75,C
PSV-2015B,Cooling Water,PRESSURE SAFETY VALVE,Y,,Cooling Water,,Anderson Greenwood C,9611011D,,8,250,C
PG-2029B,MP BFP Turbine B Dischatge Pressure,PRESSURE GAUGE,N,,MP BFP Turbine B Dischatge Pressure,"6""-MS120215-32-B12T-H",WIKA,Type 232.30,,32,350,C
TG-2009A,MP BFP Turbine A Discharge Temperature,TEMPERATURE GAUGE,N,,MP BFP Turbine A Discharge Temperature,"6""-MS120215-25-B12T-H",WIKA,S5550,,21,350,C
PT-2004B,LP1 Steam to Vent Pressure,PRESSURE TRANSMITTER,Y,,LP1 Steam to Vent Pressure,"14""-LS120561-21-A14T-H",Yokogawa,EJA430A-EAS4B-97DB/KU2/D4/A/M11/X1/C3,,7,300,A
PV-2003,,GLOBE CONTROL VALVE,Y,,,,,,,46.2,420,A
PZC-2004,,CONTROL VALVE POSITION,,,,,AEE,,,,,
LT-3006,Spent Caustic Vent Gas Drum,GUIDED WAVE RADAR,Y,,Spent Caustic Vent Gas Drum,,Magnetrol,Eclipse 705-510A-C10 with 7MA-A440-061 probe,,3.5,110,A
RO-2030,MS2 SUPPLY HEADER to HP FLARE,RO,,,MS2 SUPPLY HEADER to HP FLARE,"18""-MS2-20046-B12T-H",Samil IND,,,46.2,420,
HEV-2005A,MP Condensate (MC2),CONTROL VALVE POSITION,,,MP Condensate (MC2),,AEE,,,,,
PG-2001,Deaerator Pressure,PRESSURE GAUGE,N,,Deaerator Pressure,Deaerator Pressure,WIKA,S5550,,5.5,350,C
PSV-2005C,Boiler Feed Water,PRESSURE SAFETY VALVE,Y,,Boiler Feed Water,,Anderson Greenwood C,1 D 2 JLT-JOS-E-35-C,,24,200,C
PG-2002,Feedwater Storage Tank Pressure,PRESSURE GAUGE,N,,Feedwater Storage Tank Pressure,Feedwater Storage Tank Pressure,WIKA,Type 232.30,,5.5,350,C
HV-2007A,,BALL ON-OFF VALVE,Y,,,,,,,16,245,
TG-2002,Feedwater Storage Tank Inlet Temperature,TEMPERATURE GAUGE,N,,Feedwater Storage Tank Inlet Temperature,,WIKA,S5550,,5.5,350,C
PDG-2020A,Boiler Feed Water,PRESSURE DIFFERENTIAL GAUGE,,,Boiler Feed Water,"16""-BFW20250-10-A12A-H",WIKA,732.51,,8,180,
HV-2001,,BALL ON-OFF VALVE,Y,,,,,,,5.5,350,
HV-2008,,BALL ON-OFF VALVE,Y,,,,,,,9,180,A
HZC-2003B,,CONTROL VALVE POSITION,,,,,AEE,,,,,
HEV-2002A,,CONTROL VALVE POSITION,,,,,AEE,,,,,
TZC-2002,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PSV-2054,Flash Steam,PRESSURE SAFETY VALVE,Y,,Flash Steam,,Anderson Greenwood C,4 P 6 JOS-H-E-15-C,,7,300,B
PT-2102,Air Reciver Pressure Tank,PRESSURE TRANSMITTER,Y,,Air Reciver Pressure Tank,,Yokogawa,EJA430A-EAS4B-97DB/KU2/D4/A/M11/X1,,11,65,
DSH-2061A,DESUPERHEATER FOR FD FAN,DESUPERHEAT,Y,20-CTU,,,,,,,,C
DSH-2061B,DESUPERHEATER FOR FD FAN,DESUPERHEAT,Y,20-CTU,,,,,,,,C
FT-2092,MS1 MP STEAM FROM CTU,DIFF. PRESSURE,N,,MS1 MP STEAM FROM CTU,"16""MS1 20701-B12T-H-100",Yokogawa,EJA110A,,21,350,B
PG-2021,LC1 from TFU,PRESSURE GAUGE,,,LC1 from TFU,"3""-LC1-20007-A12A-P",ASHCROFT,T5500,,6.8,65,
HZO-1723,HP STEAM TO DOWNSTREAM PLANT,CONTROL VALVE POSITION,,,HP STEAM TO DOWNSTREAM PLANT,"6""HS 17002-D11T-H",*,*,,,,
PSV-2008B,LP1 Steam,PRESSURE SAFETY VALVE,Y,,LP1 Steam,,Anderson Greenwood C,8 T 10 JOS-H-E-35-C,,5.5,350,C
HV-2005B,,BALL ON-OFF VALVE,Y,,,,,,,,245,
HZC-2001,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PT-2011,Deaerator Pressure,PRESSURE TRANSMITTER,Y,,Deaerator Pressure,"8""-BFW20245-11-F11T-H",Yokogawa,EJA430A-EAS4B-97DB/KU2/D4/A/M11/X1/C3,,5.5,350,A
PT-2010B,SHP O/L Feedwater Pressure,PRESSURE TRANSMITTER,Y,,SHP O/L Feedwater Pressure,"8""-BFW20245-11-F11T-H",Yokogawa,EJA430A-EBS4B-97DB/KU2/D4/A/M11/X1/C3,,190,200,A
PG-2008B,HP BFW B Discharge Pressure,PRESSURE GAUGE,N,,HP BFW B Discharge Pressure,"8""-BFW20243-10-F11T-H",WIKA (KSB Supply),Type 233.50,,95,200,C
HZC-2006A,,CONTROL VALVE POSITION,,,,,AEE,,,,,
HEV-2007B,,CONTROL VALVE POSITION,,,,,AEE,,,,,
RO-2026,MS2 BY-PASS FOR PV-2025,RO,,,MS2 BY-PASS FOR PV-2025,"3/4""-HS-20026-D11T-H",CHEIL,,,46.2,420,
HZO-2008,,OTHER INSTRUMENT,,,,,AEE,,,,,
FV-2016,,BALL CONTROL VALVE,Y,,,,,,,12,180,A
HV-2023,,BALL ON-OFF VALVE,Y,,,,,,,208,200,
FT-2702,PLANT AIR HEADER FROM CTU,DIFF. PRESSURE,,,PLANT AIR HEADER FROM CTU,"6""PA 27001-A11A",Yokogawa,EJA110A,,11,65,
PV-2030,HS LETDOWN TO HP FLARE,GLOBE CONTROL VALVE,Y,,HS LETDOWN TO HP FLARE,"14""-HS-20026-D11T-H",CHEIL,,,46.2,420,A
HS-1723,HP STEAM TO DOWNSTREAM PLANT,LOCAL PANEL,,,HP STEAM TO DOWNSTREAM PLANT,,,,,,,
HEV-2006B,,CONTROL VALVE POSITION,,,,,AEE,,,,,
HEV-2006A,,CONTROL VALVE POSITION,,,,,AEE,,,,,
HEV-2007A,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PT-2006C,0,PRESSURE TRANSMITTER,,,,,,,,,,
HZO-2007A,,OTHER INSTRUMENT,,,,,AEE,,,,,
HZO-2006B,,OTHER INSTRUMENT,,,,,AEE,,,,,
HZC-2007A,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PDG-2020B,Boiler Feed Water,PRESSURE DIFFERENTIAL GAUGE,,,Boiler Feed Water,"16""-BFW20251-10-A12A-H",WIKA,732.51,,8,180,
PDG-2020C,Boiler Feed Water,PRESSURE DIFFERENTIAL GAUGE,,,Boiler Feed Water,"16""-BFW20252-10-A12A-H",WIKA,732.51,,8,180,
PDG-2021C,Boiler Feed Water,PRESSURE DIFFERENTIAL GAUGE,,,Boiler Feed Water,"10""BFW20249-10-B12A-H",WIKA,732.51,,24,200,
PZC-2011,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PZC-2001,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PG-2017A,LP Condensate Pump A Discharge Pressure,PRESSURE GAUGE,N,,LP Condensate Pump A Discharge Pressure,"6""SSC20016-14-A12A-P",WIKA,232.50.100,,8,180,C
FT-2016,LP Condensate Pump Discharge Flow,DIFF. PRESSURE,Y,,LP Condensate Pump Discharge Flow,"6""SSC 20016-19-A12A-P",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1/C3,,9,180,
PT-2021,BFW Heater I/L Quench Oil Pressure,PRESSURE TRANSMITTER,Y,,BFW Heater I/L Quench Oil Pressure,"24""-QO20006-10-B13A-H",Yokogawa,EJX438A-EASCG-917DB-WA22C1SWBO-BA23/KU21/D4/A/M5W/X2/C3,,23.5,205,B
LG-362,E-300,LEVEL GAUGE,,,E-300,,Magnetrol,XAAC-1CJ2-2A0/160,,1.05,150,
PT-1751C,0,PRESSURE TRANSMITTER,,,,,,,,,,
TT-2030,,TEMPERATURE TRANSMITTER,Y,,,,Yokogawa,YTA320,,,,A
PT-2030,MS2 SUPPLY HEADER to HP FLARE,PRESSURE TRANSMITTER,Y,,MS2 SUPPLY HEADER to HP FLARE,"18""-MS2-20046-B12T-H",Yokogawa,EJA430A,,16,420,A
HZC-2005B,,CONTROL VALVE POSITION,,,,,AEE,,,,,
HZC-2005A,MP Condensate (MC2),CONTROL VALVE POSITION,,,MP Condensate (MC2),,AEE,,,,,
PG-2015A,MP BFP A Discharge Pressure,PRESSURE GAUGE,N,,MP BFP A Discharge Pressure,"12""-BFW20201-11-B12A-H",WIKA (SNM Supply),Type 232.50,,21.4,200,C
PDV-2001,,BUTTERFLY CONTROL VALVE,Y,,,,,,,,,B
HV-2007B,,BALL ON-OFF VALVE,Y,,,,,,,16,245,
PDG-2021B,Boiler Feed Water,PRESSURE DIFFERENTIAL GAUGE,,,Boiler Feed Water,"10""BFW20248-10-B12A-H",WIKA,732.51,,24,200,
TV-2008,,GLOBE CONTROL VALVE,Y,,,,,,,17,112,B
HV-2009,,BALL ON-OFF VALVE,Y,,,,,,,12,180,A
FZC-2016,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PSV-2007B,MS2 Steam,PRESSURE SAFETY VALVE,Y,,MS2 Steam,,Anderson Greenwood C,6 R 10 JOS-H-45-C,,21,350,C
PT-2016B,SHP BFP Turbine B Steam O/L Pressure,PRESSURE TRANSMITTER,Y,,SHP BFP Turbine B Steam O/L Pressure,"14""-MS220216-12-B12T-H",Yokogawa,EJA430A-EAS4B-97DB/KU2/D4/A/M11/X1/C3,,21,350,A
DSH-2061C,DESUPERHEATER FOR FD FAN,DESUPERHEAT,Y,20-CTU,,,,,,,,C
HEV-2005B,,CONTROL VALVE POSITION,,,,,AEE,,,,,
TG-2005B,BFW Preheater Outlet Temperature,TEMPERATURE GAUGE,N,,BFW Preheater Outlet Temperature,"12"" -BFW20203-15-B12A-H",WIKA,S5550,,21.4,200,C
PT-2010A,SHP O/L Feedwater Pressure,PRESSURE TRANSMITTER,Y,,SHP O/L Feedwater Pressure,"8""-BFW20242-11-F11T-H",Yokogawa,EJA440A-ECS4B-97DB/KU2/D4/A/M11/X1/C3,,190,200,A
HZO-2003B,,OTHER INSTRUMENT,,,,,AEE,,,,,
HV-2003A,,BALL ON-OFF VALVE,Y,,,,,,,46.2,420,A
TG-2009B,MP BFP Turbine B Discharge Temperature,TEMPERATURE GAUGE,N,,MP BFP Turbine B Discharge Temperature,"6""-MS120215-32-B12T-H",WIKA,S5550,,21,,C
HEV-2003A,,CONTROL VALVE POSITION,,,,,AEE,,,,,
TT-2011B,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
TT-2012B,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
PSV-2003A,,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,4 M 6 JOS-E-35-C,,21,350,C
PSV-2055,Steam,PRESSURE SAFETY VALVE,Y,,Steam,,Anderson Greenwood C,6 Q 8 JOS-H-E-15-C,,7,361,B
XV-2080,,BUTTERFLY CONTROL VALVE,Y,,,,FISHER,A41,,65,110,B
AT-2001,,MAIN ANALYZER,Y,,,,,,,,,B
PG-2102,Air Reciver Pressure Tank,PRESSURE GAUGE,N,,Air Reciver Pressure Tank,,ASHCROFT,100-T5500-SL-04L-0/16 Kg/cm2-XGR-NH-SG,,16,37,C
AT-2102,Water feed line to Dynasand System,MAIN ANALYZER,Y,,Water feed line to Dynasand System,,,,,,,B
HZC-2103,Air,CONTROL VALVE POSITION,,,Air,,,,,,,
PG-2106A,Potable water pump A discharge line,PRESSURE GAUGE,N,,Potable water pump A discharge line,"10""-PTW23002-A13X",ASHCROFT,100-Y5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,10,37,C
PCV-2102A,P-2161A/C,PCV,Y,,P-2161A/C,"3/4""NaOCI21002-CPVC",,,,,,
PG-2111B,ALUM dosing pump B discharge line,PRESSURE GAUGE,N,,ALUM dosing pump B discharge line,"1""ALUM 21002-CPVC",ASHCROFT,100-T5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,10,37,C
PCV-2103,P-2162A/B/C,PCV,Y,,P-2162A/B/C,"3/4""Alum21001-CPVC",,,,,,
PG-2112A,Chemical sump pump A,PRESSURE GAUGE,N,,Chemical sump pump A,,ASHCROFT,100-T5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,10,37,C
LS-2101,Polymer preparation tank,LEVEL SWITCH,Y,,Polymer preparation tank,,Endress+Houser,FTM50-6AF2A4A57AA,,,65,
HV-2210B,Water,BALL ON-OFF VALVE,Y,,Water,"6""-PW-22031-CSRL",CRANE,RS Series,,8,65,
AT-2205B,Mixed Exchanger (D-2204B) Outlet Line,MAIN ANALYZER,Y,,Mixed Exchanger (D-2204B) Outlet Line,,Yokogawa,SC202S-N-E/U/SCT,,,,A
HV-2221B,Water,BALL ON-OFF VALVE,Y,,Water,"3""-WW-22005-A12A",CRANE,RS Series,,6,65,
FT-2201B,Outlet Line Anion Exchanger No.2,DIFF. PRESSURE,Y,,Outlet Line Anion Exchanger No.2,"6""-PW-22039-CSRL",Yokogawa,DY150-EBLBA1-2D/KF1/X1/WP/PT/A/T02/PM2/Z,,6,65,
HV-2222A,Water,BALL ON-OFF VALVE,Y,,Water,"4""-WW-22001-A12A",CRANE,RS Series,,6,65,
PDT-2201A,A/C Filter Tank No.1,PRESSURE DIFFERENTIAL TRANSMITTER,Y,,A/C Filter Tank No.1,"6""-TW-22009-A13X",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1,,8,65,
PV-2195B,,GLOBE CONTROL VALVE,Y,,,,,,,6.8,170,B
LG-2002,,LEVEL GAUGE,N,,,,AEE,,,343,130,C
PSV-2006A,MS1 Steam,PRESSURE SAFETY VALVE,Y,,MS1 Steam,,Anderson Greenwood C,3 M 6 HSJ-36,,21,373,C
HEV-2003B,,CONTROL VALVE POSITION,,,,,AEE,,,,,
TT-2002,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
PT-2003B,MP1 Steam to Vent Pressure,PRESSURE TRANSMITTER,Y,,MP1 Steam to Vent Pressure,"8""-MS120560-20-B12T-H",Yokogawa,EJA430A-EAS4B-97DB/KU2/D4/A/M11/X1/C3,,21,350,A
PSV-2001A,,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,4 N 6 JOS-H-E-35-C,,21,350,C
PZC-2031,,CONTROL VALVE POSITION,,,,,AEE,,,,,
XZO-2080,,CONTROL VALVE POSITION,,,,,,,,,,
PG-2038A,Scale Inhibitor Pump A Discharge Pressure,PRESSURE GAUGE,N,,Scale Inhibitor Pump A Discharge Pressure,"3/4""-PH20552-10-F11K",WIKA,Type 232.30,,233,65,C
PG-2037B,pH Control Pump B Desdcharge Pressure,PRESSURE GAUGE,N,,pH Control Pump B Desdcharge Pressure,"3/4""-AM20213-10-A14K",WIKA,Type 232.30,,10,65,C
AT-2002,,MAIN ANALYZER,Y,,,,,,,,,B
LV-2101,Distributed Intermediate Water tank,BUTTERFLY CONTROL VALVE,Y,,Distributed Intermediate Water tank,"16""-TW-21006-A11A",Samson,14B,,4.5,65,
HV-2103,Air,BALL ON-OFF VALVE,Y,,Air,"2-1/2""-PA-21001-A13X",SAUNDERS,IDV / TypeA,,8,65,
HEV-2102A,Polymer,CONTROL VALVE POSITION,,,Polymer,,,,,,,
HEV-2102D,,CONTROL VALVE POSITION,,,,,,,,,,
FI-2104F,Air,ROTAMETER,Y,,Air,"1""-PA21007-A13X",Tokyo Keiso,R-101-E,,7,,
TG-2202,Cooling water inlet for Condensate Cooler temperatur,TEMPERATURE GAUGE,N,,Cooling water inlet for Condensate Cooler temperatur,"12""-CW22001-A11A",ASHCROFT,100-AM-070-E-351-0/100'C-NH,,8,75,C
PZC-2195B,,CONTROL VALVE POSITION,,,,,AEE,,,,,
HZC-2003A,,CONTROL VALVE POSITION,,,,,AEE,,,,,
HV-2002B,,BALL ON-OFF VALVE,Y,,,,,,,46.2,420,A
PG-2027A,MP BFP Turbine A Suction Pressure,PRESSURE GAUGE,N,,MP BFP Turbine A Suction Pressure,"4""-HS20565-22-D11T-H",WIKA,Type 232.30,,46.2,420,C
PT-2016A,SHP BFP T urbine A Stean O/L Pressure,PRESSURE TRANSMITTER,Y,,SHP BFP T urbine A Stean O/L Pressure,"14""-MS220216-10-B12T-H",Yokogawa,EJA430A-EAS4B-97DB/KU2/D4/A/M11/X1/C3,,21,350,A
PSV-2014B,Cooling Water,PRESSURE SAFETY VALVE,Y,,Cooling Water,,Anderson Greenwood C,9611011D,,8,250,C
PT-2031,Boiler Feedwater Pressure,PRESSURE TRANSMITTER,Y,,Boiler Feedwater Pressure,"6""-BFW20254-20-D11T-H",Yokogawa,EJA430A-EBS4B-97DB/KU2/D4/A/M11/X1/C3,,46.2,200,A
TT-2001,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
PSV-2025B,IP Boiler Feed water,PRESSURE SAFETY VALVE,Y,,IP Boiler Feed water,,Anderson Greenwood C,3 K 4 JLT-JBS-E-45-C,,46.2,200,C
PV-2012,,GLOBE CONTROL VALVE,Y,,,,,,,21,350,B
PG-2039B,Scale Inhibitor Pump D Discharge Pressure,PRESSURE GAUGE,N,,Scale Inhibitor Pump D Discharge Pressure,"3/4""-PH20553-11-F11K",WIKA,Type 232.30,,99,65,C
AT-2003,,MAIN ANALYZER,Y,,,,,,,,,B
FT-2101B,In coming to Clarifier Tank No.2,DIFF. PRESSURE,Y,,In coming to Clarifier Tank No.2,"18""-RW-21005-A11A",Endress+Houser,50W4F-HL0A4BA0BDAA+DK5GD-4FAHL,,,,
HZO-2010,HS TO F-6952 FOR HD#4,OTHER INSTRUMENT,,,HS TO F-6952 FOR HD#4,,CHEIL,,,,,
PSV-2030B,MS2 STEAM HEADER,PRESSURE SAFETY VALVE,Y,,MS2 STEAM HEADER,"18""-MS2-20046-B12T-H",CHEIL,,,,420,C
PSV-2004A,,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,4 L 6 JLT-JBS-E-66-C,,95,200,C
FT-2001,Deaerator Inlet Steam Flow,DIFF. PRESSURE,Y,,Deaerator Inlet Steam Flow,"18""-LS120501-10-A14T-H",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1/C3,,7,300,A
HZO-2006A,,OTHER INSTRUMENT,,,,,AEE,,,,,
HZC-2002B,,CONTROL VALVE POSITION,,,,,AEE,,,,,
TZC-2001,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PZC-2003,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PZC-2002,,CONTROL VALVE POSITION,,,,,AEE,,,,,
XZC-2080,,CONTROL VALVE POSITION,,,,,,,,,,
PG-2039A,Scale Inhibitor Pump C Dischatge Pressure,PRESSURE GAUGE,N,,Scale Inhibitor Pump C Dischatge Pressure,"3/4""-PH20553-10-F11K",WIKA,Type 232.30,,99,65,C
PG-2037A,pH Control Pump A Discharge Pressure,PRESSURE GAUGE,N,,pH Control Pump A Discharge Pressure,"3/4""-AM20213-14-A14K",WIKA,Type 232.30,,10,65,C
FT-2101A,Incoming to Clarifier Tank No.1,DIFF. PRESSURE,Y,,Incoming to Clarifier Tank No.1,"18""-RW-21004-A11A",Endress+Houser,50W4F-HL0A4BA0BDAA+DK5GD-4FAHL,,,,
HEV-2101B,Water,CONTROL VALVE POSITION,,,Water,,,,,,,
PG-2103E,Intermediate water pump C discharge line,PRESSURE GAUGE,N,,Intermediate water pump C discharge line,"20""TW 21004 A11A",ASHCROFT,100-T5500-SL-04L-1/1 Kg/cm2-XGV-NH-SG,,0.3,37,C
PT-2101C,Dynasand No.3,PRESSURE TRANSMITTER,Y,,Dynasand No.3,"16""RW21018-A11A",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1,,0.1,,
PT-1751B,0,PRESSURE TRANSMITTER,,,,,,,,,,
HEV-1750,FUEL GAS FROM PTT,CONTROL VALVE POSITION,,,FUEL GAS FROM PTT,,CHEIL,,,,,
PT-2014,,PRESSURE TRANSMITTER,,,,,,,,45,420,
HEV-1723,HP STEAM TO DOWNSTREAM PLANT,CONTROL VALVE POSITION,,,HP STEAM TO DOWNSTREAM PLANT,,,,,,,
PV-2014,,BUTTERFLY CONTROL VALVE,,,,,,,,,,
HV-2005A,,BALL ON-OFF VALVE,Y,,,,,,,16,245,
HZO-2005B,,OTHER INSTRUMENT,,,,,AEE,,,,,
PG-2004B,MP BFP B Suction Pressure,PRESSURE GAUGE,N,,MP BFP B Suction Pressure,"16""-BFW20251-10-A12A-H",WIKA (SNM Supply),Type 232.50,,5.5,350,C
TG-2005A,BFW Preheater Outle Temperature,TEMPERATURE GAUGE,N,,BFW Preheater Outle Temperature,,WIKA,S5550,,21.4,200,C
