Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
HS-R760A-SDA1,"LOGIC Z-7603/7604,R-760A  S/D IN CCR",LOCAL PANEL,,,"LOGIC Z-7603/7604,R-760A  S/D IN CCR",,,,,,,
HS-P1316-SP,OFF-SPEC PROPYLENE PUMP P-1316 SOFT STOP COMMAND,OTHER IMAGE TAG,,,OFF-SPEC PROPYLENE PUMP P-1316 SOFT STOP COMMAND,,,,,,,
HS-P1520-SP,EXTRACTION FEED PUMP P-1520 SOFT STOP COMMAND,OTHER IMAGE TAG,,,EXTRACTION FEED PUMP P-1520 SOFT STOP COMMAND,,,,,,,
HS-P1540A-SP,BENZENE EXPORT PUMP P-1540A SOFT STOP COMMAND,OTHER IMAGE TAG,,,BENZENE EXPORT PUMP P-1540A SOFT STOP COMMAND,,,,,,,
HS-P1550B-SP,TOLUENE EXPORT PUMP P-1550B SOFT STOP COMMAND,OTHER IMAGE TAG,,,TOLUENE EXPORT PUMP P-1550B SOFT STOP COMMAND,,,,,,,
HS-P1620B-SP,CKB FEED TO BOILER PUMP P-1620B SOFT STOP COMMAND,OTHER IMAGE TAG,,,CKB FEED TO BOILER PUMP P-1620B SOFT STOP COMMAND,,,,,,,
HS-PA7640-BS,PILOT GAS TO H-761 BURNER,OTHER IMAGE TAG,,,PILOT GAS TO H-761 BURNER,,,,,,,
HS-PDAL385-02-MOS,HP COMP. PRIMARY SEAL GAS SUPPLY DP (DE),OTHER IMAGE TAG,,,HP COMP. PRIMARY SEAL GAS SUPPLY DP (DE),,,,,,,
HS-PI1314A-MOS,MOS FOR PI-1314A,OTHER IMAGE TAG,,,MOS FOR PI-1314A,,,,,,,
HS-PI1317B-MOS,MOS FOR PI-1317B,OTHER IMAGE TAG,,,MOS FOR PI-1317B,,,,,,,
HS-PIC532-U,PERF. CONT. ENABLE/DISABLE SELECTOR,LOCAL PANEL,,,PERF. CONT. ENABLE/DISABLE SELECTOR,,,,,,,
HS-PSA-SD2,IMAGE TAG FOR LOOP,OTHER IMAGE TAG,,,IMAGE TAG FOR LOOP,,,,,,,
HS-PT2020A-ST,,LOCAL PANEL,,,,,,,,,,
HS-PT2020B-SP,,LOCAL PANEL,,,,,,,,,,
HS-PT226A,PT-226A LOCAL PUSH BUTTON,LOCAL PANEL,Y,,PT-226A LOCAL PUSH BUTTON,,,,,,,C
HS-R520SD1,R-520A SHUTDOWN  1,OTHER ANALYZER,,,R-520A SHUTDOWN  1,,,,,,,
