Tag Name,PSM Critical,Unit,Line,Class,Fluid State,Paint Code,P&ID Number,Fluid,Design Pressure (kg/cm2g),Design Temperatur(C) ,Pipe Size (inch) ,Operating Pressure (kg/cm2g) ,Operating Temperature(C),C Insulation Thickness (mm) 
"2""V C6602-A13A",,,,A13A,V,,22-660A,V,3.5,80,2,ATM,AMB,
"1""DF 6057B-B11Q",,,,B11Q,V,,22-0660A,DF,20.6,-45,1,16.96,-40.4,
"24""ICW 6602-A11A",,,,A11A,,,22-2400A,ICW,13.80 kgf/cm^2,75 C,"24""",,,
"24""ICW P6604-A11A",,,,A11A,L,A,22-0660A/2400A,ICW,13.8,75,24,3.8,38.8,
"1""CBD 6122-A11Q",,,,A11Q,L,,22-0660B,CBD,3.5,-45,1,0.5,-35.4,
"3/4""CBD 6118-A11Q",,,,A11Q,,,22-0660C,CBD,3.50 kgf/cm^2,,"3/4""",,,
"8""DF 6022-A13Q",,,,A13Q,V,,22-0660C,DF,3.5,-45,8,0.5,45,
"1""CBD 6119-A11Q",,,,A11Q,,,22-0660D,CBD,3.50 kgf/cm^2,,"1""",,,
"1""LS2 5033-B12A-H",,,,B12A,,,22-0500A,LS2,27.40 kgf/cm^2,170 C,"1""",,,
"3""OWD 5000-B13A",,,,B13A,,,22-0500A,OWD,26.90 kgf/cm^2,100 C,"3""",,,
"3/4""CBD 5071-A13K",,,,A13K,L,,22-0500A,CBD,3.5,-160,3/4,0.5,-52,
"1/2""IL 5005-A12K",,,,A12K,,,22-0500B,IL,9.30 kgf/cm^2,65 C,"1/2""",,,
"4""LC1 5010-B12A-P",,,,B12A,,,22-0520A,LC1,26.40 kgf/cm^2,200 C,"4""",,,
"1-1/2""HL 5015-B13K",,,,B13K,,,22-0520B1,HL,26.40 kgf/cm^2,240 C,"1-1/2""",,,
"8""RS 5009-B13A-H",,,,B13A,,,22-0520B1,RS,44.80 kgf/cm^2,240 C,"8""",,,
"8""HV 5091-B11Q-H",,,,B11Q,,,22-0520B1,HV,26.40 kgf/cm^2,200 C,"8""",,,
"16""HV 5015-B13A-H",,,,B13A,,,22-0520B1,HV,44.80 kgf/cm^2,240 C,"16""",,,
"4""HV 5030-B11Q-H",,,,B11Q,,,22-0520B2,HV,26.40 kgf/cm^2,200 C,"4""",,,
"18""HV 5033-B11Q-H",,,,B11Q,,,22-0520B2,HV,26.40 kgf/cm^2,200 C,"18""",,,
"16""CW 5204-A11A",,,,A11A,L,,"2400A,520B2",CW,17.6,75,16,4.5,31,
"10""RS 5006-B13A-H",,,,B13A,,,22-0520B2,RS,26.40 kgf/cm^2,240 C,"10""",,,
"8""RS 5010-B13A-H",,,,B13A,,,22-0520B2,RS,26.40 kgf/cm^2,240 C,"8""",,,
"8""RS 5011-B13A-H",,,,B13A,,,22-0520B2,RS,26.40 kgf/cm^2,240 C,"8""",,,
"3/4""HV 5070-B11Q-C",,,,B11Q,,,22-0500A,HV,32.50 kgf/cm^2,,"3/4""",,,
"1-1/2""CBD 5068-A11Q",,,,A11Q,,,22-0520A,CBD,3.50 kgf/cm^2,,"1-1/2""",,,
"3""HV 5079-B11Q-H",,,,B11Q,,,22-0520A,HV,26.40 kgf/cm^2,130 C,"3""",,,
"8""RS 5008-B13A-H",,,,B13A,,,22-0520B1,RS,44.80 kgf/cm^2,240 C,"8""",,,
"4""HV 5029-B11Q-H",,,,B11Q,,,22-0520B1,HV,26.40 kgf/cm^2,200 C,"4""",,,
"3/4""HV R0524-B13K",,,,B13K,V,,22-0520B1,HV,26.4,-45,3/4,21.3,40,
"1-1/2""H 5002-B24A",,,,B24A,,,22-0520B1,H,,,"1-1/2""",,,
"1""HV 5129-B13A",,,,B13A,V,,22-520B1,HV,26.4,65,1,19.7,40,
"10""RS 5004-A12T-H",,,,A12T,,,22-0520B2,RS,3.50 kgf/cm^2,265 C,"10""",,,
"2""MN 27023-A12X",,,,A12X,,,22-2800,MN,12.00 kgf/cm^2,65 C,"2""",,,
"16""CW 5204-A11A",,,,A11A,,,"2400A,520B2",CW,17.60 kgf/cm^2,75 C,"16""",,,
"1""HV 5119-B13A",,,,B13A,V,,22-0520B2,HV,26.4,65,1,19.7,40,
"1""HV 5096-B13A-H",,,,B13A,,,22-0520B2,HV,26.40 kgf/cm^2,240 C,"1""",,,
"2""CBD 5008-A13K",,,,A13K,L,,22-0520C,CBD,3.5,-160,2,0.5,-24,
"3/4""CBD 5009-B13K",,,,B13K,L,N,22-0520C,CBD,28.5,-160,3/4,24.22,-28.5,
"1""V 4006-A12A-P",,,,A12A,,,22-0460,V,3.50 kgf/cm^2,200 C,"1""",,,
"3/4""IA 27013-A13X",,,,A13X,V,,"22-0460,2800",IA,11,65,3/4,7,AMB,
"10""ICW 4601-A11A",,,,A11A,,,22-0460,ICW,16.70 kgf/cm^2,75 C,"10""",,,
"10""ICW 4601-A11A",,,,A11A,L,A,22-0460,ICW,16.7,75,10,3,37,
"24""HM 5003-B13A-H",,,,B13A,,,22-0500A,HM,27.40 kgf/cm^2,170 C,"24""",,,
"2""PR 6001-B13A",,,,B13A,,,22-0640B,PR,43.00 kgf/cm^2,65 C,"2""",,,
"2""SV 5000-A12A",,,,A12A,V,,22-0500A,SV,3.5,250,2,ATM,230,
"1-1/2""CBD 5043-B11Q",,,,B11Q,,,22-0500A,CBD,29.50 kgf/cm^2,100 C,"1-1/2""",,,
"18""HL 5007-B13A-H",,,,B13A,,,22-0500A,HL,27.40 kgf/cm^2,100 C,"18""",,,
"2""HL 5022-B11Q-C",,,,B11Q,,,22-0520C,HL,36.50 kgf/cm^2,,"2""",,,
"2""LC1 5043-B12A-P",,,,B12A,,,22-0520A,LC1,26.40 kgf/cm^2,200 C,"2""",,,
"3""LC1 5046-B12T-P",,,,B12T,,,22-0520A,LC1,26.40 kgf/cm^2,300 C,"3""",,,
"8""HV 9011-B11Q",,,,B11Q,,,0540/950,HV,26.40 kgf/cm^2,,"8""",,,
"18""HV 5008-B13A-H",,,,B13A,,,22-0520B1,HV,44.80 kgf/cm^2,240 C,"18""",,,
"1""HV 5012-B11Q-C",,,,B11Q,,,22-0520A,HV,26.40 kgf/cm^2,,"1""",,,
"3/4""CBD 4044-A13K",,,,A13K,L,,22-0400B,CBD,3.5,-160,3/4,0.5,-41.4,
"1-1/2""CBD 4041-B13K",,,,B13K,,,22-0400B,CBD,45.50 kgf/cm^2,,"1-1/2""",,,
"6""H 4001-B24A",,,,B24A,,,22-0400B,H,,,"6""",,,
"3/4""CBD 4042-A13K",,,,A13K,,,22-0400B,CBD,3.50 kgf/cm^2,,"3/4""",,,
"10""HV 4009-A11Q",,,,A11Q,V,,22-0400B,HV,7.7,65,10,5.28,25.4,
"8""HM 4011-B13K-C",,,,B13K,,,22-0400C,HM,44.80 kgf/cm^2,,"8""",,,
"2""DF 4008-A13K",,,,A13K,,,22-0400C,DF,3.50 kgf/cm^2,,"2""",,,
"3/4""CBD 4019-A13K",,,,A13K,L,,22-0420A,CBD,3.5,-160,3/4,0.5,-53,
"1-1/2""CBD 4017-A13K",,,,A13K,,,22-0420A,CBD,3.50 kgf/cm^2,,"1-1/2""",,,
"3/4""CBD 4045-B13K",,,,B13K,,,22-0420A,CBD,38.00 kgf/cm^2,,"3/4""",,,
"1""CBD 5046-A13K",,,,A13K,,,22-0540,CBD,7.90 kgf/cm^2,,"1""",,,
"3/4""CBD 4057-A13K",,,,A13K,,,22-0420A,CBD,3.50 kgf/cm^2,,"3/4""",,,
"3/4""HV 4037-A13K-C",,,,A13K,,,22-0420A,HV,8.50 kgf/cm^2,,"3/4""",,,
"3/4""CBD 4016-A13K",,,,A13K,L,,22-0420A,CBD,3.5,-160,3/4,0.5,-49.3,
"4""DF 4013-A13K",,,,A13K,,,22-0420B,DF,3.50 kgf/cm^2,,"4""",,,
"2""DF 4034-A13K",,,,A13K,V,,22-0420B,DF,3.5,-160,2,0.5,-65,
"4""HL 4009-A13K-C",,,,A13K,,,22-0420A,HL,7.90 kgf/cm^2,,"4""",,,
"1-1/2""HV 4018-A13K-C",,,,A13K,,,22-0420A,HV,7.90 kgf/cm^2,,"1-1/2""",,,
"1""ME 19017-B13A",,,,B13A,,,22-1950,ME,45.60 kgf/cm^2,65 C,"1""",,,
"6""H 4012-B24A",,,,B24A,,,22-0440A,H,44.80 kgf/cm^2,65 C,"6""",,,
"6""H 4012-B24A",,,,B24A,V,,22-0440A,H,44.8,65,6,35.05,25.4,
"8""WF 4002-A14A",,,,A14A,,,22-0440A,WF,3.50 kgf/cm^2,65 C,"8""",,,
"6""H 4022-A15A",,,,A15A,V,,22-0440A,H,5.5,90,6,3.3,30,
"14""H 4014-A15A-A2",,,,A15A,,,22-0440A,H,5.50 kgf/cm^2,60 C,"14""",,,
"10""H 4402-B24A",,,,B24A,,,22-0440B,H,,,"10""",,,
"6""LS1 4005-A14T-H",,,,A14T,,,22-0460,LS1,6.80 kgf/cm^2,300 C,"6""",,,
"10""SV 4000-A14T",,,,A14T,V,,22-0460,SV,3.5,225,10,ATM,205,
"10""DF 4014-A14A",,,,A14A,,,22-0460,DF,3.50 kgf/cm^2,185 C,"10""",,,
"2""V 4000-A12A",,,,A12A,V,,22-0460,V,3.5,80,2,ATM,AMB,
"3""V 4005-A12A-P",,,,A12A,,,22-0460,V,3.50 kgf/cm^2,200 C,"3""",,,
"3/4""IA 27030-A13X",,,,A13X,V,,22-2800,IA,11,65,3/4,7,AMB,
"1""ME 19038-B13A",,,,B13A,,,22-1950,ME,45.60 kgf/cm^2,65 C,"1""",,,
"1""ME 19036-B13A",,,,B13A,,,22-1950/0660,ME,45.60 kgf/cm^2,65 C,"1""",,,
"8""WF 7012-A14A",,,,A14A,,,22-0700A,WF,3.50 kgf/cm^2,156 C,"8""",,,
"8""WF 7012-A14A",,,,A14A,V,,22-0700A,WF,3.5,156,8,0.5,136,
"10""WF 7001-A14A",,,,A14A,V,,22-0700A,WF,3.5,146,10,0.5,69,
"4""LC1 7032-A12A-P",,,,A12A,,,22-0700A,LC1,7.00 kgf/cm^2,300 C,"4""",,,
"1-1/2""HV 7004-A14A",,,,A14A,,,22-0700A,HV,6.30 kgf/cm^2,80 C,"1-1/2""",,,
"20""CW 7001-A11A",,,,A11A,L,,22-0700A,CW,8.0,75,20,4.5,31,
"3""SV 7001-A12A",,,,A12A,,,22-0700A,SV,3.50 kgf/cm^2,190 C,"3""",,,
"3/4""CBD 7001-A11Q",,,,A11Q,,,22-700A,CBD,3.50 kgf/cm^2,,"3/4""",,,
"6""PG 7006-A13A-P",,,,A13A,,,22-0700A,PG,6.60 kgf/cm^2,146 C,"6""",,,
"3""SV 7000-A12A",,,,A12A,V,,22-0700A,SV,3.5,190,3,ATM,170,
"4""C4 7015-B13A",,,,B13A,,,22-0700B,C4,32.70 kgf/cm^2,70 C,"4""",,,
"4""C4 7505-B13A",,,,B13A,,,"750C,0700B",C4,,,"4""",,,
"30""WF 9006-A14A",,,,A14A,V,,22-0900A,WF,3.5,121,30,0.5,78,
"14""PW 2019-B13A-H",,,,B13A,,,22-0240,PW,17.00 kgf/cm^2,220 C,"14""",,,
"10""RCW 2401-A11A",,,,A11A,,,22-0240/2400,RCW,11.40 kgf/cm^2,75 C,"10""",,,
"12""MC2 2436-B12T-H",,,,B12T,,,22-0240,MC2,16.00 kgf/cm^2,350 C,"12""",,,
"12""MC2 2430-B12T-H",,,,B12T,,,22-0240,MC2,16.00 kgf/cm^2,350 C,"12""",,,
"3""OWD 2020-A13A",,,,A13A,,,22-0240,OWD,3.50 kgf/cm^2,220 C,"3""",,,
"3""OWD 2020-A13A",,,,A13A,L,,22-0240,OWD,3.5,220,3,ATM,170,
"26""PW 2028-B13A-H",,,,B13A,,,22-0240,PW,17.00 kgf/cm^2,220 C,"26""",,,
"6""MC2 2432-B12T-H",,,,B12T,,,22-0240,MC2,16.00 kgf/cm^2,350 C,"6""",,,
"1-1/2""IB 2002-B12A-P",,,,B12A,,,22-0240,IB,17.00 kgf/cm^2,200 C,"1-1/2""",,,
"18""MS2 2010-B12T-H",,,,B12T,,,22-0240,MS2,16.00 kgf/cm^2,350 C,"18""",,,
"2""SV 2010-A12A",,,,A12A,V,,22-0240,SV,3.5,226,2,ATM,205,
"1-1/2""IB 2005-B12A-P",,,,B12A,,,22-0240,IB,3.50 kgf/cm^2,220 C,"1-1/2""",,,
"2""V 3034-A13A",,,,A13A,,,22-0300A,V,3.50 kgf/cm^2,80 C,"2""",,,
"2""V 3034-A13A",,,,A13A,V,,22-0300A,V,3.5,80,2,ATM,AMB,
"1""HL 3078-B24A",,,,B24A,,,22-0300A,HL,44.80 kgf/cm^2,127 C,"1""",,,
"4""PR 6504-B13A",,,,B13A,,,22-0650B,PR,23.50 kgf/cm^2,75 C,"4""",,,
"1-1/2""HV 6104-B13A",,,,B13A,,,22-0640C,HV,20.70 kgf/cm^2,80 C,"1-1/2""",,,
"6""PR 6006-B11Q-H",,,,B11Q,,,22-0640C,PR,23.50 kgf/cm^2,67 C,"6""",,,
"3""MS2 6002-B12T-H",,,,B12T,,,22-0640C/200,MS2,16.00 kgf/cm^2,350 C,"3""",,,
"1""PR 6018-B13A",,,,B13A,L,,22-0640C,PR,23.5,75,1,20.3,37,
"1-1/2""CBD 6015-A11Q",,,,A11Q,,,22-0640C,CBD,3.50 kgf/cm^2,,"1-1/2""",,,
"14""QW 6503-B13A-H",,,,B13A,,,22-0650A,QW,17.00 kgf/cm^2,112 C,"14""",,,
"18""HV 6502-A14A",,,,A14A,,,22-0650B,HV,,,"18""",,,
"1""HV 6528-B13A-P",,,,B13A,,,22-0650B,HV,21.30 kgf/cm^2,90 C,"1""",,,
"3/4""D 1330-A11Q",,,,A11Q,,,22-0660A,D,3.50 kgf/cm^2,65 C,"3/4""",,,
"24""CW 6603-A11A",,,,A11A,,,22-2400A,CW,13.80 kgf/cm^2,75 C,"24""",,,
"1""DF 6057C-B11Q",,,,B11Q,V,,22-0660A,DF,20.6,-45,1,16.96,-40.4,
"2""V C6601-A13A",,,,A13A,V,,22-660A,V,3.5,80,2,ATM,AMB,
"1""ME 19035-B13A",,,,B13A,L,,22-1950,ME,45.6,65,1,40.5,AMB,
"1""CBD 6134-A11Q",,,,A11Q,,,22-0660B,CBD,3.50 kgf/cm^2,,"1""",,,
"3""SV 4001-A14T",,,,A14T,,,22-0460,SV,3.50 kgf/cm^2,225 C,"3""",,,
"1""DF 4031D-B13A",,,,B13A,V,,22-0460,DF,42.8,185,1,38.62,140,
"6""HL 5011-B11Q-C",,,,B11Q,,,22-0500A,HL,33.00 kgf/cm^2,,"6""",,,
"8""HL 5008-B11Q-C",,,,B11Q,,,22-0500A,HL,26.40 kgf/cm^2,,"8""",,,
"4""LC2 5035-B12A-P",,,,B12A,,,22-0500A,LC2,27.40 kgf/cm^2,170 C,"4""",,,
"4""LC2 5030-B12A-P",,,,B12A,,,22-0500A,LC2,27.40 kgf/cm^2,170 C,"4""",,,
"4""LC2 5031-B12A-P",,,,B12A,,,22-0500A,LC2,27.40 kgf/cm^2,170 C,"4""",,,
"1-1/2""LC2 5036-B12A-P",,,,B12A,,,22-0500A,LC2,27.40 kgf/cm^2,170 C,"1-1/2""",,,
"14""HM 5001-B11Q-D",,,,B11Q,,,22-0500A,HM,38.00 kgf/cm^2,,"14""",,,
"8""HL 5010-B11Q-C",,,,B11Q,,,22-0500A,HL,33.00 kgf/cm^2,,"8""",,,
"3/4""IL 5001-A12K",,,,A12K,,,22-0500B,IL,3.50 kgf/cm^2,65 C,"3/4""",,,
"1-1/2""LC1 5045-B12A-P",,,,B12A,,,22-0520A,LC1,26.40 kgf/cm^2,200 C,"1-1/2""",,,
"3""LC1 5041-B12A-P",,,,B12A,,,22-0520A,LC1,26.40 kgf/cm^2,200 C,"3""",,,
"18""HV 5010-B13A-H",,,,B13A,,,22-0520A,HV,26.40 kgf/cm^2,170 C,"18""",,,
"12""CW 5205-A11A",,,,A11A,L,,"2400A,520A",CW,17.6,75,12,4.5,31,
"6""DF 5015-A13K",,,,A13K,,,22-0520C,DF,3.50 kgf/cm^2,,"6""",,,
"8""HV 5056-B11Q-D",,,,B11Q,,,22-0540,HV,26.40 kgf/cm^2,,"8""",,,
"3/4""E 5005-B11Q-C",,,,B11Q,,,22-0540,E,30.00 kgf/cm^2,,"3/4""",,,
"1""CBD 5018-B13K",,,,B13K,,,22-0540,CBD,,,"1""",,,
"2""HV 5065-B11Q-C",,,,B11Q,,,22-0540,HV,19.40 kgf/cm^2,,"2""",,,
"3/4""HL 5055-B11Q-C",,,,B11Q,,,22-0540,HL,28.00 kgf/cm^2,,"3/4""",,,
"3/4""CBD 5057-B13K",,,,B13K,L,,22-0540,CBD,28,-160,3/4,23.27,-36.4,
"12""HL 5033-B11Q-C",,,,B11Q,,,22-0540,HL,21.00 kgf/cm^2,,"12""",,,
"1""CBD 9514-A13K",,,,A13K,L,,22-0540,CBD,3.5,-160,1,0.5,-34,
"6""HL 5031-B11Q-C",,,,B11Q,,,22-0540,HL,20.50 kgf/cm^2,,"6""",,,
"1""ME 19023-B13A",,,,B13A,,,22-1950,ME,45.60 kgf/cm^2,65 C,"1""",,,
"2""V C5601-A13A",,,,A13A,V,,22-560A,V,3.5,80,2,ATM,AMB,
"2""CBD 5016-A13K",,,,A13K,L,,22-0560A,CBD,3.5,-160,2,0.12,-101,
"3""DF 5028-A13K",,,,A13K,V,,22-0560A,DF,3.5,-160,3,0.5,-13,
"12""WF 5009-A14A",,,,A14A,,,22-0560A,WF,3.50 kgf/cm^2,100 C,"12""",,,
"1""ME 19012-B13A",,,,B13A,L,,22-0400A,ME,45.6,65,1,40.5,AMB,
"8""DF 4018-A13K",,,,A13K,V,,22-0400A,DF,3.5,-160,8,0.5,-69,
"14""HM 4003-B13K-C",,,,B13K,,,22-0400A,HM,44.80 kgf/cm^2,300 C,"14""",,,
"8""E 4000-D21Q-C",,,,D21Q,,,22-0400B,E,58.00 kgf/cm^2,,"8""",,,
"6""HV 4005-A13A",,,,A13A,V,,22-0400B,HV,14.5,90,6,4,25.4,
"3""HV 4043-A13A",,,,A13A,V,,22-0400B,HV,7.7,192,3,4.64,25.4,
"1""HV 4045-A11Q",,,,A11Q,V,,22-0400B,HV,7.7,65,1,5.71,25.4,
"30""HM 4001-B13K-C",,,,B13K,,,22-0420A,HM,44.80 kgf/cm^2,,"30""",,,
"3/4""HV 4017-B13K-C",,,,B13K,,,22-0420A,HV,38.00 kgf/cm^2,,"3/4""",,,
"1-1/2""HM 4017-B13K-C",,,,B13K,,,22-0420A,HM,44.80 kgf/cm^2,,"1-1/2""",,,
"1""ME 19019-B13A",,,,B13A,L,,22-1950,ME,45.6,65,1,40.5,AMB,
"10""HL 4012-A13K-C",,,,A13K,,,22-0420A,HL,10.30 kgf/cm^2,,"10""",,,
"2""HV 4024-B13K-C",,,,B13K,,,22-0420B,HV,42.80 kgf/cm^2,,"2""",,,
"3/4""WF 4030-A14A",,,,A14A,V,,22-0420B,WF,3.5,185,3/4,0.5,39.7,
"8""WF 4004-A14A",,,,A14A,V,,22-0440,WF,3.5,65,8,0.5,30,
"1-1/2""H 5004-B24A",,,,B24A,,,22-0520A,H,44.80 kgf/cm^2,65 C,"1-1/2""",,,
"2""MN 27084-A12X",,,,A12X,,,22-2800/520B,MN,12.00 kgf/cm^2,65 C,"2""",,,
"10""RS 5003-A12T-H",,,,A12T,,,22-0520B1,RS,3.50 kgf/cm^2,265 C,"10""",,,
"1""HV 5117-B13A",,,,B13A,,,22-0520B1,HV,44.80 kgf/cm^2,240 C,"1""",,,
"6""WF 5006-A14A",,,,A14A,V,,22-0520B2,WF,3.5,86,6,0.5,66,
"18""HV 5022-B13A-H",,,,B13A,,,22-0520B2,HV,26.40 kgf/cm^2,240 C,"18""",,,
"16""CW 5202-A11A",,,,A11A,L,,"2400A,520B2",CW,17.6,75,16,4.5,31,
"4""WF 5014-A14A",,,,A14A,,,22-0520B2,WF,3.50 kgf/cm^2,133 C,"4""",,,
"1""HV 5041-B11Q-C",,,,B11Q,,,22-0520C,HV,26.40 kgf/cm^2,,"1""",,,
"18""HV 5042-B11Q-M",,,,B11Q,,,22-0520C,HV,26.40 kgf/cm^2,,"18""",,,
"6""DF 5014-A13K",,,,A13K,,,22-0520C,DF,3.50 kgf/cm^2,,"6""",,,
"1""HV 5050-B11Q-C",,,,B11Q,,,22-0520C,HV,36.50 kgf/cm^2,,"1""",,,
"2""CBD 5044-B11Q-C",,,,B11Q,,,22-0520C,CBD,26.40 kgf/cm^2,,"2""",,,
"1""CBD 5081-A13K",,,,A13K,,,22-0520C,CBD,3.50 kgf/cm^2,,"1""",,,
"6""HV 5074-B11Q-M",,,,B11Q,,,22-0520C,HV,26.40 kgf/cm^2,,"6""",,,
"3/4""CBD 5006-A13K",,,,A13K,,,22-0520C,CBD,3.50 kgf/cm^2,,"3/4""",,,
"3/4""CBD 4021-B13K",,,,B13K,,,22-0420B,CBD,42.80 kgf/cm^2,,"3/4""",,,
"1-1/2""HV 4040-B13K-C",,,,B13K,,,22-0420B,HV,42.80 kgf/cm^2,,"1-1/2""",,,
"3/4""CBD 4051-A13K",,,,A13K,L,,22-0420B,CBD,3.5,-160,3/4,0.5,-59.38,
"1""H 4020-B24A",,,,B24A,,,22-0440A,H,44.80 kgf/cm^2,65 C,"1""",,,
"10""H 4011-A15A-D",,,,A15A,,,22-0440A,H,5.50 kgf/cm^2,90 C,"10""",,,
"1""WF 4451-A14A",,,,A14A,V,,22-0440A,WF,3.5,65,1,0.5,30,
"3""HS 4601-D11T-H",,,,D11T,,,22-2000A1,HS,46.20 kgf/cm^2,420 C,"3""",,,
"12""LS1 4004-A14T-H",,,,A14T,,,22-0460,LS1,6.80 kgf/cm^2,300 C,"12""",,,
"10""SV 4002-A14T",,,,A14T,,,22-0460,SV,3.50 kgf/cm^2,225 C,"10""",,,
"1""MN 27039-A12X",,,,A12X,V,,22-2800/0460,MN,12,65,1,8,AMB,
"4""RCW 4002-A11A",,,,A11A,L,,22-0460,RCW,8,75,4,3.3,42,
"1""LS2 5032-B12A-H",,,,B12A,,,22-0500A,LS2,27.40 kgf/cm^2,170 C,"1""",,,
"1""CBD 5087-A13K",,,,A13K,L,,22-0500A,CBD,3.5,-160,1,0.5,-19,
"3/4""CBD 5067-B13K",,,,B13K,,,22-0500A,CBD,32.50 kgf/cm^2,,"3/4""",,,
"3/4""IL 3000-A12K",,,,A12K,,,22-0500B,IL,3.50 kgf/cm^2,65 C,"3/4""",,,
"2""OWD 2076-A13A",,,,A13A,,,22-0230,OWD,3.50 kgf/cm^2,225 C,"2""",,,
"8""PW 2013-B13A-H",,,,B13A,,,22-0230,PW,18.00 kgf/cm^2,210 C,"8""",,,
"24""PW 2006-A13A-H",,,,A13A,,,22-0230,PW,4.50 kgf/cm^2,155 C,"24""",,,
"1""PW 2024-B13A-H",,,,B13A,,,22-0240,PW,17.00 kgf/cm^2,220 C,"1""",,,
"2""SV 2015-A12A",,,,A12A,,,22-0240,SV,3.50 kgf/cm^2,223 C,"2""",,,
"26""PW 2026-B13A-H",,,,B13A,,,22-0240,PW,17.00 kgf/cm^2,220 C,"26""",,,
"2""SV 2012-A12A",,,,A12A,V,,22-0240,SV,3.5,226,2,ATM,206,
"6""IB 2010-B12A",,,,B12A,L,,,IB,17/F.V,200,6,6.972,117,
"2""OWD 2070-A13A",,,,A13A,,,22-0240,OWD,3.50 kgf/cm^2,215 C,"2""",,,
"1""PW 2018-B13A-H",,,,B13A,,,22-0240,PW,17.00 kgf/cm^2,220 C,"1""",,,
"2""SV 2014-A12A",,,,A12A,V,,22-0240,SV,3.5,223,2,ATM,203,
"2""SV 2009-A12A",,,,A12A,,,22-0240,SV,3.50 kgf/cm^2,226 C,"2""",,,
"2""SV 2013-A12A",,,,A12A,,,22-0240,SV,3.50 kgf/cm^2,223 C,"2""",,,
"1-1/2""WG 32007-B13A",,,,B13A,,,22-0300A,WG,26.00 kgf/cm^2,75 C,"1-1/2""",,,
"4""HL 3006-A13A",,,,A13A,L,,22-0300A,HL,4.6/F.V,121,4,2.5,39,
"1""CBD 5017-A13K",,,,A13K,L,,22-0540,CBD,3.5,-160,1,0.5,-25.6,
"1""CBD 5018-A13K",,,,A13K,,,22-0540,CBD,3.50 kgf/cm^2,,"1""",,,
"1-1/2""CBD 5054-B13K-C",,,,B13K,,,22-0540,CBD,21.00 kgf/cm^2,,"1-1/2""",,,
"1""ME 19045-B13A",,,,B13A,L,,22-0540,ME,45.6,65,1,40.5,AMB,
"1-1/2""CBD 5049-B11Q-C",,,,B11Q,,,22-0540,CBD,20.50 kgf/cm^2,,"1-1/2""",,,
"8""HV 5057-B11Q-C",,,,B11Q,,,22-0540,HV,20.50 kgf/cm^2,,"8""",,,
"1""HV 5102-A13K-C",,,,A13K,,,22-0540,HV,9.50 kgf/cm^2,,"1""",,,
"8""HV 5055-B11Q-C",,,,B11Q,,,22-0540,HV,20.50 kgf/cm^2,,"8""",,,
"1-1/2""DF 5052-A13K",,,,A13K,,,22-0560A,DF,3.50 kgf/cm^2,,"1-1/2""",,,
"12""WF 5009-A14A",,,,A14A,V,,22-0560A,WF,3.5,100,12,0.5,73,
"1""ME 19040-B13A",,,,B13A,L,,22-1950,ME,45.6,65,1,40.5,AMB,
"4""DF 5029-A13K",,,,A13K,V,,22-0560B,DF,3.5,-160,4,0.12,-59,
"6""DF 5030-A13K",,,,A13K,V,,22-0560B,DF,3.5,-160,6,0.12,-45,
"6""DF 5058-A13K",,,,A13K,V,,22-0560B,DF,3.5,-160,6,0.12,-45,
"1""ME 19039-B13A",,,,B13A,,,22-0560B,ME,45.60 kgf/cm^2,65 C,"1""",,,
"1""HL 3077-B24A",,,,B24A,,,22-0300A,HL,44.80 kgf/cm^2,127 C,"1""",,,
"1-1/2""HL 3014-B24A",,,,B24A,,,22-0300A,HL,44.80 kgf/cm^2,127 C,"1-1/2""",,,
"1""HL 3018-B24A",,,,B24A,L,,22-0300A,HL,44.8,127,1,40.5,97,
"6""HV 3024-A13A",,,,A13A,V,,22-0320,HV,3.5/F.V,155,6,0.56,57,
"3/4""WF 3004-A14A",,,,A14A,,,22-0300A,WF,,,"3/4""",,,
"3""HM 3004-A13A",,,,A13A,L+V,,22-0300B,HM,13.3,121,3,5.54,41,
"2""V 3037-A13A",,,,A13A,,,22-0300B,V,3.50 kgf/cm^2,80 C,"2""",,,
"1""HL 3021-B24A",,,,B24A,L,,22-0300B,HL,44.8,127,1,40.5,97,
"18""ICW 3003-A11A-A3",,,,A11A,,,22-0300B,ICW,8.00 kgf/cm^2,75 C,"18""",,,
"2""WBD 3055-A13A",,,,A13A,L,,22-0300B,WBD,3.5,121,2,0.5,40.8,
"1""HL 3014-B24A",,,,B24A,,,22-0300B,HL,44.80 kgf/cm^2,127 C,"1""",5.40 kgf/cm^2,35 C,
"2""HL 3028-A13A",,,,A13A,L,,22-0300C,HL,15,120,2,8.5,42,
"16""WF 3006-A14A",,,,A14A,,,22-0300C,WF,,126 C,"16""",,,
"16""WF 3006-A14A",,,,A14A,V,,22-0300C,WF,3.5,126,16,0.5,97,
"1""CBD 6134-A11Q",,,,A11Q,L,,22-0660B,CBD,3.5,-45,1,0.5,28,
"8""DF 6021-A13Q",,,,A13Q,,,22-0660B,DF,3.50 kgf/cm^2,,"8""",,,
"8""DF 6022-A13Q",,,,A13Q,,,22-0660C,DF,3.50 kgf/cm^2,,"8""",,,
"4""DF 6055-A13Q",,,,A13Q,,,22-0660C,DF,3.50 kgf/cm^2,,"4""",,,
"6""DF 6023-A13Q",,,,A13Q,V,,22-0660C,DF,3.5,-45,6,0.5,45,
"1""CBD 6027-A11Q",,,,A11Q,,,22-0660D,CBD,3.40 kgf/cm^2,,"1""",,,
