Tag Name,PSM Critical,Unit,Line,Class,Fluid State,Paint Code,P&ID Number,Fluid,Design Pressure (kg/cm2g),Design Temperatur(C) ,Pipe Size (inch) ,Operating Pressure (kg/cm2g) ,Operating Temperature(C),C Insulation Thickness (mm) 
"12""LS1 20047-A14T-H",,,,A14T,,,20-2000B,LS1,7,300,"12""",4,200,
"4""V 20001-10-A14K-P",,,,150#,7,,20-2000C,V,7,300,"4""",4,200,
"3/4""D 20236-12-A12A-P",,,,150#,8,,20-2000C,D,8,180,"3/4""",4,147,
"4""H 17002-B24A",,,,B24A,,,20-1700A,H,21.0 kgf/cm^2,65C,"4""",18kgf/cm^2,40 C,
"3""FG 17006-A13A-ST",,,,A13A,,,20-1700A,FG,,,"3""",,,
"6""HL 17001-B51A",,,,B51A,,,20-1700A,HL,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"3""BU 17004-B13A",,,,B13A,,,20-1700A,BU,,,"3""",,,
"4""H 17001-B24A",,,,B24A,,,20-1700A,H,21.0 kgf/cm^2,65C,"4""",18kgf/cm^2,40 C,
"4""E 12017-B11Q-C",,,,B11Q,A-2/D-1,,29RE4011-01200A/1700A,Vapor,,,"4""",-45/65,,SPOT
"4""WW 20032-10-B12A-P",,,,300#,16,,20-2000C,WW,16,245,"4""",4,158,
"10""LC1 20013-10-A12A-P",,,,150#,6.5,,20-2000D,LC1,6.5,180,"10""",0.5,147,
"3""BFW 20023-F11T-H",,,,F11T,,,"20-2000A
20-2000C",BFW,,,"3""",,,
"1-1/2""BFW 20032-A12A-H",,,,A12A,,,20-2000A,BFW,,,"1-1/2""",,,
"3""BFW 20021-D11T-H",,,,D11T,,,20-2000A,BFW,46.20 kgf/cm^2,200 C,"3""",,,
"12""BFW 20015-F11T-H",,,,F11T,,,20-2000A,BFW,190,200,"12""",160,161,
"6""LC1 20003-A12A-P",,,,A12A,,,20-2000A,LC1,,,"6""",,,
"12""MS1 20005-B12T-H",,,,B12T,,,20-2000B,MS1,,,"12""",,,
"3/4""HS 20026-D11T-H",,,,D11T,,,20-2000B,HS,,,"3/4""",,,
"24""HS 20005-D11T-H",,,,D11T,,,20-2000B,HS,46.2,420,"24""",4,200,
"14""E 17006-B13A",,,,B13A,,,20-1700A,E,,,"14""",,,
"14""FG 17003-B13A",,,,B13A,,,20-1700A,FG,,,"14""",,,
"6""HV 17002-A13A",,,,A13A,,,20-1700A,HV,,,"6""",,,
"4""PR 17002-B13A",,,,B13A,,,20-1700A,PR,21.0 kgf/cm^2,65C,"4""",18kgf/cm^2,40 C,
"6""HL 15006-A51A",,,,A51A,Liquid,,29RE4011-01500A/01700A,Hydrocarbon Liquid,,,"6""",0-12,15-40,-
"6""HL 17001-B51A",,,,B51A,Liquid,,29RE4011-01500A/01700A,Hydrocarbon Liquid,,,"6""",0-28,15-40,-
"2""PR 13022-B13A",,,,B13A,Liquid,,29RE4011-01300/01700A,Off Spec. Propylene,,,"2""",0-38,15-40,-
"3""HV M3820-B13A",,,,B13A,,,20-1700A,HV,,,"3""",,,
"6""HV M3750-B13A",,,,B13A,,,20-1700A,HV,,,"6""",,,
"6""HM A8300-A51A",,,,A51A,,,20-1700A,HM,,,"6""",,,
"10""MC2 20005-B12A-H",,,,B12A,,,20-2000A,MC2,,,"10""",,,
"3""LC1 20007-A12A-P",,,,A12A,,,20-2000A,LC1,,,"3""",,,
"4""TSC 24003-A12A-P",,,,A12A,,,20-2000A,TSC,,,"4""",,,
"3""LC1 26001-A12A-P",,,,A12A,,,"20-2000A
20-2600A",LC1,,,"3""",,,
