Tag Name,Tag Description,Tag Type,Unit,ABC Class,PSM Critical,Service,Type,Design Temperature (C) ,Design Pressure (kg/cm2g)
T-700,DEBUTANIZER,TOWER,22-ORU,,,Debutanizer,,146,6.6
P-206C,QUENCH OIL PUMP,PUMP,22-ORU,A,,Quench Oil Pump,Centrifugal,,
D-120R,SHP STEAM DRUM (RECYCLE GAS CRACKING FURNACE),DRUM,21-CFU,A,,SHP STEAM DRUM                                             (RECYCLE GAS CRACKING FURNACE),H,341,149 / F.V.
E-865A,EDC SIDE REBOILER,HEAT EXCHANGER,24-ARU,A,,EDC Side Reboiler,,,
E-960B,HYDROCARBONS SUMP COOLER,HEAT EXCHANGER,24-ARU,A,,,,,
F-870B,SRC REFLUX FILTERS,FILTER,24-ARU,A,,SRC Reflux Filters,,,
D-2601,COLD FLARE DRUM,DRUM,20-CTU,A,,,,,
D-2602,WARM FLARE DRUM NO 1,DRUM,20-CTU,A,,,,,
D-2606,LPG DRUM,DRUM,20-CTU,A,,,,,
D-4002,FOAM LIQUID DRUM,DRUM,20-CTU,B,,Foam liquid drum,Cylindrical  (Horizontal),,
DSH-2001,HS TO MS1 DESUPERHEATER,DESUPERHEATER,20-CTU,B,,HS TO MS1 DESUPERHEATER,,46.2,420
E-855A,DEOCTANIZER REBOILER,HEAT EXCHANGER,24-ARU,A,,Deoctanizer Reboiler,,,
E-855B,DEOCTANIZER REBOILER,HEAT EXCHANGER,24-ARU,A,,Deoctanizer Reboiler,,,
D-2201B,DEGASIFIER,DRUM,20-CTU,B,,,,,
D-2202B,CATION EXCHANGER,DRUM,20-CTU,B,,,,,
D-2204C,MIXED BED POLISHER,DRUM,20-CTU,B,,,,,
F-2201C,ACTIVATED CARBON FILTER FOR DEMIN,FILTER,20-CTU,B,,,,,
F-2211D,CONDENSATE FILTER,FILTER,20-CTU,C,,,,,
TK-2260,NaOH STORAGE TANK,TANK,20-CTU,B,,,,,
TK-2270,pH CONTROL AGENT TANK 'FOR POLISHED CONDENSATE,TANK,20-CTU,C,,,,,
TK-871,WET SOLVENT TANK,TANK,24-ARU,A,,Wet Solvent Tank,,90,"450 + FL/ -25
mmH2O"
T-871,SOLVENT REGENERATOR,TOWER,24-ARU,A,,Solvent Regenerator,,2500,3.5 / FV
T-890,TOLUENE TOWER,TOWER,24-ARU,C,,Toluene Tower,,2600,3.5 / FV
M-620A,PROPYLENE DRYER,DRYER,22-ORU,A,,Propylene Dryer,,Drying :  65 / -45 Regeneration :  262,"Drying :   38.0
Regeneration :  7.7"
M-520,ETHYLENE DRYER,DRYER,22-ORU,B,,Ethylene Dryer,,Drying :-45 Regeneration :262,"Drying :26.4
Regeneration :7.7"
E-411A,DEMETHANIZER FEED HEATER NO.1,HEAT EXCHANGER,22-ORU,A,,Demethanizer Feed Heater No.1,H-BEM,,
E-621,C3 HYDROGENATION REDUCTION HEATER,HEAT EXCHANGER,22-ORU,A,,"C3 Hydrogenation Reduction 
 Heater",D-PIPE,,
T-540,C2 TOWER,TOWER,22-ORU,,,C2 Tower,,-45,20.5
D-202,QUENCH OIL DRAIN DRUM,DRUM,22-ORU,B,,Quench Oil Drain Drum,Horizontal,400,3.5
E-246,DILUTION STEAM BLOWDOWN COOLER,HEAT EXCHANGER,22-ORU,,,Dilution Steam Blowdown Cooler,H-AES,,
F-3201B,SPENT CAUSTIC GASOLINE FILTER,FILTER,22-ORU,,,Spent Caustic Gasoline Filter,Basket Type,73,11.6
P-668B,STANDBY LO PUMP,PUMP,22-ORU,B,,,,,
P-226C,QUENCH WATER PUMP,PUMP,22-ORU,A,,Quench Water Pump,Centrifugal,,
D-005,DMDS DRUM,DRUM,21-CFU,A,,DMDS DRUM,H,65,12 / FV
D-203,QUENCH OIL RETURN DRUM,DRUM,22-ORU,C,,Quench Oil Return Drum,Horizontal,250,12.0
H-120R,RECYCLE GAS CRACKING FURNACE,FURNACE,21-CFU,A,,RECYCLE GAS CRACKING FURNACE,,,-
P-2211A,POLISHED CONDENSATE PUMP,PUMP,20-CTU,B,,,,,
C-2800C,PLANT AIR COMPRESSOR,AIR COMPRESSOR,20-CTU,B,,,,,
E-771,DEETHYLENIZER FEED CHILLER,HEAT EXCHANGER,23-OCU,,,Deethylenizer Feed Chiller,H-BEU,,
J-2400,CHAIN BLOCK FOR COOLING BASIN,MISCELLANEOUS ITEM,20-CTU,C,,,,,
F-2400C,CW SIDE STREAM FILTER,FILTER,20-CTU,C,,,,,
TK-2415,CORROSION INHIBITOR TYPE 2 TANK,TANK,20-CTU,C,,,,,
D-2600A,LIQUID SEAL DRUM,DRUM,20-CTU,B,,,,,
D-2605,WARM FLARE DRUM NO 2,DRUM,20-CTU,A,,,,,
