Tag Name,Tag Description,Tag Type,Unit,ABC Class,PSM Critical,Service,Type,Design Temperature (C) ,Design Pressure (kg/cm2g)
TK-2052,SCALE INHIBITOR CONTAINER FOR BOILER,TANK,20-CTU,C,,SCALE INHIBITOR DOSING TANK FOR BOILER,Storage Tank,,65
ZZ-1810B,CKB VAPOR AC ABSORBER,CANISTER,29-TFU,,,,,,
ZZ-1820A,MX VAPOR AC ABSORBER,CANISTER,29-TFU,C,,,,,
ZZ-1820B,MX VAPOR AC ABSORBER,CANISTER,29-TFU,,,,,,
D-1610,TANK YARD CRACKER BOTTOM DRAIN DRUM,DRUM,29-TFU,A,,CKB drain drum,Cylindrical  (Horizontal),,
TK-2414,CORROSION INHIBITOR TYPE 1 TANK,TANK,20-CTU,C,,,,,
T-2400J,COOLING TOWER,COOLING TOWER,20-CTU,C,,,,,
P-3052,OIL SPILL WALL PUMP,PUMP,20-CTU,C,,,,,
D-4003C,FUEL OIL TANK,DRUM,20-CTU,,,,,,
ZZ-2161,NAOCL SCRUBBER,SCRUBBER,20-CTU,C,,,,,
DSH-2002,MS1 TO LS1 DESUPERHEATER,DESUPERHEATER,20-CTU,C,,,,,
H-2050A,PACKAGED BOILERS,BOILER,20-CTU,A,,PACKAGED BOILERS,"37VP18 Natural Circ, FD, Pkg Blr",63.7 (Blr) 46.2 (SH),
ZZ-1810A,CKB VAPOR AC ABSORBER,CANISTER,29-TFU,C,,,,,
E-1214,EMERGENCY MP ETHYLENE PRODUCT SUPERHEATER,HEAT EXCHANGER,29-TFU,A,,MP Vapour Ethylene,Shell & Tube,,
F-3330,WASTE WATER FILTER,FILTER,20-CTU,C,,,,,
PIT-3010A,CPI SPARATOR PIT,PIT AND BASIN,20-CTU,C,,,,,
PIT-3300A,EQUALIZATION PIT,PIT AND BASIN,20-CTU,C,,,,,
TK-3070,NO.I NEUTRALIZATION TANK,TANK,20-CTU,B,,,,,
TK-3072,CONC.H2SO4 TANK,TANK,20-CTU,A,,,,,
TK-3073,NaOH TANK,TANK,20-CTU,C,,,,,
TK-3075,FeCl3 TANK,TANK,20-CTU,C,,,,,
D-705,"CONDENSATE POT FOR E-705A,B",DRUM,22-ORU,C,,"Condensate Pot for E-705A,B",Horizontal,300,7.0 & FV
F-2801,FILTER BY PASS,FILTER,20-CTU,C,,,,,
ZZ-2050B,START UP VENT SILENCER,SILENCER,20-CTU,C,,HP STEAM START-UP VENT SILENCER,Vertical,,420
X-3076,C POLYMER TANK MIXER,MIXER,20-CTU,B,,,,,
P-201B,PURGE OIL PUMP,PUMP,22-ORU,B,,Purge Oil Pump,V-Centrifugal,,
STR-218A,PGO Strainer,STRAINER,22-ORU,,,,,,
MX-3060,LINE MIXER,MIXER,20-CTU,B,,,,,
TK-3077,10% H2SO4 TANK,TANK,20-CTU,A,,,,,
TK-3380,SLUDGE HOPPER,TANK,20-CTU,C,,,,,
E-641,C3 TOWER VENT CONDENSER,HEAT EXCHANGER,22-ORU,A,,,,,
E-561,ETHYLENE REFRIGERANT AFTERCOOLER,HEAT EXCHANGER,22-ORU,A,,Ethylene Refrigerant Aftercooler,H-AJM,,
P-380B,C.G. ABSORBER REFLUX PUMP,PUMP,22-ORU,B,,C.G. Absorber Reflux Pump,Centrifugal,,
STR-214A,HL Strainer,STRAINER,22-ORU,,,,,,
E-222C,SECONDARY QUENCH WATER COOLER,HEAT EXCHANGER,22-ORU,C,,"Secondary Quench Water 
 Cooler",H-AES,,
E-245B,DILUTION STEAM DRUM REBOILER,HEAT EXCHANGER,22-ORU,A,,Dilution Steam Drum Reboiler,V-BEL,,
P-369B,CONDENSATE STRIPPER POLYMERIZATION INHIBITOR PUMP,PUMP,22-ORU,,,,,,
STR-402B,E Strainer,STRAINER,22-ORU,,,,,,
P-668A,MAIN LO PUMP,PUMP,22-ORU,B,,,,,
Z-800,GHU-1 FEED COALESCER PACKAGE,MISCELLANEOUS ITEM,24-ARU,,,GHU-1 Feed Coalescer Package,,,
P-1310B,PROPYLENE EXPORT PUMP,PUMP,29-TFU,A,,HP-Propylene pump,CENTRIFUGAL (Vertical),,
P-1310C,PROPYLENE EXPORT PUMP,PUMP,29-TFU,A,,HP-Propylene pump,CENTRIFUGAL (Vertical),,
PT-2020A,TURBINE FOR P-2020A,TURBINE,20-CTU,B,,,,,
P-2010B,LP CONDENSATE PUMP,PUMP,20-CTU,B,,LP CONDENSATE PUMP,Vertical can,,
P-2400B,COOLING WATER PUMP,PUMP,20-CTU,B,,,,,
P-2441A,BOOSTER PUMPS,PUMP,20-CTU,,,,,,
P-3350B,FILTER FEED PUMP,PUMP,20-CTU,B,,,,,
TK-1420,ISO BUTYLENE RICH (HIB) SPHERICAL TANK,TANK,29-TFU,A,,C4 (Iso Butylene Rich),,,
Z-3300,AERATION FEED BOX,MISCELLANEOUS ITEM,20-CTU,C,,,,,
TK-3071,NO.2 NEUTRALIZATION TANK,TANK,20-CTU,B,,,,,
TK-3330,SLUDGE CONDITIONING TANK,TANK,20-CTU,C,,,,,
ZZ-302,REACTIVATION OFF-GAS VENT SILENCER,SILENCER,22-ORU,,,Reactivation Off-gas Vent Silencer,,,
P-520B,C2 GREEN OIL SCRUBBER REFLUX PUMP,PUMP,22-ORU,B,,C2 Green Oil Scrubber Reflux Pump,Centrifugal,,
F-578A,GAS FILTER (BUFFER GAS),FILTER,22-ORU,A,,,,,
X-3077,H2SO4 TANK MIXER,MIXER,20-CTU,B,,,,,
P-2401A,CW TURBINE CONDENSATE,PUMP,20-CTU,B,,,,,
P-2400G,COOLING WATER PUMP,PUMP,20-CTU,B,,Cooling Water Pump,Centrifugal,,
P-216A,PYROLYSIS GASL OIL PRODUCT PUMP,PUMP,22-ORU,B,,Pyrolysis Gasl Oil Product Pump,Centrifugal,,
P-217A,PYROLYSIS FUEL OIL PRODUCT PUMP,PUMP,22-ORU,A,,Pyrolysis Fuel Oil Product Pump,Centrifugal,,
STR-218B,PGO Strainer,STRAINER,22-ORU,,,,,,
F-206C,QUENCH OIL DISCHARGE FILTER,FILTER,22-ORU,B,,Quench Oil Discharge Filter,Basket Type,205,23.5
ZZ-211,QO/HS QUENCH FITTING,FITTING,22-ORU,B,,QO/HS Quench Fitting,,,
E-222A,SECONDARY QUENCH WATER COOLER,HEAT EXCHANGER,22-ORU,C,,"Secondary Quench Water 
 Cooler",H-AES,,
E-222B,SECONDARY QUENCH WATER COOLER,HEAT EXCHANGER,22-ORU,C,,"Secondary Quench Water 
 Cooler",H-AES,,
P-343B,INTERMEDIATE CAUSTIC CIRCULATION PUMP,PUMP,22-ORU,B,,Intermediate Caustic Circulation Pump,Centrifugal,,
P-526A,C2 GREEN OIL SCRUBBER BOTTOMS PUMP,PUMP,22-ORU,B,,C2 Green Oil Scrubber Bottoms Pump,"Centrifugal
(Sundyne)",,
P-601B,DEPROPANIZER NET OVERHEAD PUMP,PUMP,22-ORU,B,,Depropanizer Net Overhead Pump,Centrifugal,,
D-2608,LP FLARE BLOW OUT POT,DRUM,20-CTU,A,,,,,
D-4003B,FUEL OIL TANK,DRUM,20-CTU,,,,,,
M-2800B,INSTRUMENT AIR DRYER,DRYER,20-CTU,A,,,,,
F-2102E,DYNASAND FILTRATION SYSTEM,FILTER,20-CTU,C,,,,,
PIT-2104,RECOVERY WATER PIT,PIT AND BASIN,20-CTU,C,,,,,
TK-2104,SLUDGE CONDITIONING TANK,TANK,20-CTU,C,,,,,
TK-1310C,OFF-SPEC PROPYLENE SPHERICAL TANK,TANK,29-TFU,A,,Off-Spec Propylene,,,
SEJ-1011,D-1010 DIKE EJECTOR,EJECTOR,29-TFU,C,,,,,
PIT-3060B,CW BLOWDOWN HOLDING BASIN,PIT AND BASIN,20-CTU,B,,,,,
TK-1950,METHANOL TANK,TANK,20-CTU,B,,,,,
TK-3078,H3PO4 TANK,TANK,20-CTU,C,,,,,
TK-3080,C POLYMER TANK,TANK,20-CTU,C,,,,,
E-600,DEPROPANIZER CONDENSER,HEAT EXCHANGER,22-ORU,A,,Depropanizer Condenser,H-BKU,,
ZZ-300,COMPRESSOR START-UP STEAM VENT SILENCER,SILENCER,22-ORU,,,Compressor Start-up Steam Vent Silencer,,,
ZZ-301,CGC COMPRESSOR START UP SILENCER,SILENCER,22-ORU,,,CGC Compressor Start up Silencer,,,
ZZ-2001,OSBL STEAM HEADER VENT SILENCER,SILENCER,20-CTU,C,,STEAM VENTS SILENCER,Vertical,,420
DG-5002,LCB2 690V GENERATOR DIESEL ENGINE,DIESEL ENGINE,20-CTU,,,,,,
F-250B,PYROLYSIS FUEL OIL FILTER,FILTER,22-ORU,,,Pyrolysis Fuel Oil Filter,Basket Type,205,27
STR-214B,HL Strainer,STRAINER,22-ORU,,,,,,
F-206A,QUENCH OIL DISCHARGE FILTER,FILTER,22-ORU,B,,Quench Oil Discharge Filter,Basket Type,205,23.5
P-202B,QUENCH OIL DRAIN DRUM PUMP,PUMP,22-ORU,B,,Quench Oil Drain Drum Pump,"Centrifugal
(Submerged)",,
P-706A,DEBUTANIZER BOTTOMS PUMP,PUMP,22-ORU,B,,Debutanizer Bottoms Pump,Centrifugal,,
P-1010A,NAPHTHA FEED PUMP,PUMP,29-TFU,A,,Naphtha feed pump,CENTRIFUGAL (Vertical),,
P-2300A,POTABLE WATER PUMP,PUMP,20-CTU,B,,,,,
P-2400D,COOLING WATER PUMP,PUMP,20-CTU,B,,,,,
P-2441B,BOOSTER PUMPS,PUMP,20-CTU,,,,,,
P-3200A,CAUSTIC MAKE-UP PUMP,PUMP,22-ORU,B,,Caustic Make-up Pump,Centrifugal,,
P-4001A,JOCKEY PUMP,PUMP,20-CTU,,,,,,
P-2021A,SHP BOILER FEED WATER PUMP,PUMP,20-CTU,B,,SHP BOILER FEED WATER PUMP,"Horizontal Barrel, Multistage",,
STR-2010A,STRAINER FOR P-2021 A/B/C,STRAINER,20-CTU,B,,,,,
STR-2016,BFW Desup HS to MS-1 Strainer,STRAINER,20-CTU,,,,,,
DSH-2061,DESUPERHEATER FOR FD FAN,DESUPERHEATER,20-CTU,,,,,,
C-2050B,BOILER FORCE DRAFT FAN,FAN,20-CTU,A,,BOILER FAN FORCED DRAFT,Centrifugal,,40
STR-2012A,Strainer for P-2023 A/B,STRAINER,20-CTU,,,,,,
SC-2067,SAMPLE COOLER - SUPERHEATED STEAM,SAMPLE COOLER,20-CTU,,,SAMPLE COOLER - SUPERHEATED STEAM,,46.2,420
X-2102,SUBMERSIBLE MIXER (RECOVERY WATER PIT),MIXER,20-CTU,B,,,,,
P-2164A,POLYMER DOSING PUMP II (To Dewatering),PUMP,20-CTU,B,,,,,
C-2201E,DEGASIFIER FAN,FAN,20-CTU,B,,,,,
C-2202B,MIXING BLOWER FOR MIXED BED,BLOWER,20-CTU,B,,,,,
C-2202A,MIXING BLOWER FOR MIXED BED,BLOWER,20-CTU,B,,,,,
P-2251B,HCl METERING PUMP I FOR CATION,PUMP,20-CTU,B,,,,,
P-2265A,NaOH METERING PUMP FOR ORU,PUMP,20-CTU,B,,,,,
P-2271A,PH CONTROL AGENT PUMP FOR CONDENSTE POLISHER,PUMP,20-CTU,B,,,,,
P-2210B,RAW CONDENSATE PUMP,PUMP,20-CTU,B,,,,,
P-2212B,REGENERATION PUMP,PUMP,20-CTU,B,,,,,
P-2101C,INTERMEDIATE WATER PUMP,PUMP,20-CTU,B,,,,,
P-2103B,BELT WASH PUMP,PUMP,20-CTU,B,,,,,
P-2201D,TREATED WATER FEED PUMP FOR DM,PUMP,20-CTU,B,,,,,
P-3350A,FILTER FEED PUMP,PUMP,20-CTU,B,,,,,
P-3203B,SPENT CAUSTIC WASH TOWER CIRC. PUMP,PUMP,22-ORU,B,,,,,
SK-2050C,BOILER STACK,BOILER STACK,20-CTU,A,,BOILER STACK,,,275
SC-2054,SAMPLE COOLER - SATURATED STEAM,SAMPLE COOLER,20-CTU,,,"SAMPLE COOLER -
SATURATED STEAM",,63.7,279
ZZ-2101B,GEAR REDUCER OF CLARIFIER,CLARIFIER,20-CTU,B,,,,,
P-2253B,CONDENSATE POLISHER ACID PUMP,PUMP,20-CTU,B,,,,,
P-2414B,CORROSION INHIBITOR TYPE 1 PUMP,PUMP,20-CTU,B,,,,,
P-2415B,CORROSION INHIBITOR TYPE 2 PUMP,PUMP,20-CTU,B,,,,,
STR-2405B,STRAINER FOR P-2410 A/B,STRAINER,20-CTU,,,,,,
TK-2419,98% h2s04 tank,TANK,20-CTU,,,,,,
P-2424A,NaOCl DOSING PUMP,PUMP,20-CTU,B,,,,,
P-2424B,NaOCl DOSING PUMP,PUMP,20-CTU,B,,,,,
P-3321A,RETURN SLUDGE PUMP,PUMP,20-CTU,B,,,,,
P-3300A,EQUALIZATION PIT FEED PUMP,PUMP,20-CTU,B,,,,,
X-3300D,EQUALIZATION MIXING AERATOR,AERATOR,20-CTU,B,,,,,
ZZ-3300A,CARBON CANISTER AT PIT-3300,CANISTER,20-CTU,,,,,,
P-3340A,TREATED WASTE WATER PUMP,PUMP,20-CTU,B,,,,,
P-3072B,NO. 1 H2SO4 TRANSFER PUMP,PUMP,20-CTU,B,,,,,
STR-3070B,STRAINER FOR P-3070A/B,STRAINER,20-CTU,B,,,,,
D-3074,AIR SATURATION VESSEL,DRUM,20-CTU,,,,,,
STR-4010B,Fire Water Strainer,STRAINER,20-CTU,,,,,,
STR-4004,Fire Water Strainer,STRAINER,20-CTU,,,,,,
P-4000B,WATER RECOVERY,PUMP,20-CTU,C,,,,,
H-100D,LIQUID CRACKING FURNACE,FURNACE,21-CFU,A,,,,,
STR-2011A,Strainer for P-2022 A/B,STRAINER,20-CTU,,,,,,
P-2162C,ALUM DOSING PUMP,PUMP,20-CTU,B,,,,,
P-2170A,CHEMICAL AREA SUMP PUMP,PUMP,20-CTU,C,,,,,
D-2201C,DEGASIFIER,DRUM,20-CTU,B,,,,,
PT-2211A,STEAM TURBINE FOR P-2211A,TURBINE,20-CTU,A,,,,,
P-2411A,NaOCl PUMP,PUMP,20-CTU,B,,,,,
D-2410,SCRUBBER FOR NaBr,DRUM,20-CTU,C,,,,,
P-2421B,MMF  BACKWASH  PUMP,PUMP,20-CTU,B,,,,,
P-2422A,RO PERMEATE PUMP,PUMP,20-CTU,B,,,,,
STR-2601B,STRAINER FOR P-2601A/B,STRAINER,20-CTU,C,,,,,
C-2800A,PLANT AIR COMPRESSOR,AIR COMPRESSOR,20-CTU,B,,,,,
X-3300A,EQUALIZATION MIXING AERATOR,AERATOR,20-CTU,B,,,,,
P-3341B,BACKWASH PUMP,PUMP,20-CTU,B,,,,,
STR-4021A,Fire water to Sphere tank Strainer,STRAINER,20-CTU,,,,,,
STR-1001,Main FW(Fire Water) Strainer,STRAINER,20-CTU,,,,,,
H-100B,RECYCLE GAS / LIQUID CRACKING FURNACE,FURNACE,21-CFU,A,,,,,
H-100F,LIQUID CRACKING FURNACE,FURNACE,21-CFU,A,,,,,
ZZ-101D,GK6 SHP STEAM START-UP SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
ZZ-102E,GK6 EXPORT SHP STEAM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
STR-326B,HV Strainer,STRAINER,22-ORU,,,,,,
E-210B,PYROLYSIS FUEL OIL COOLER,HEAT EXCHANGER,22-ORU,B,,Pyrolysis Fuel Oil Cooler,H-BES,,
SEJ-201,STEAM EJECTOR,EJECTOR,22-ORU,,,Steam Ejector,,,
P-2200A,DEMINERALIZED WATER PUMP,PUMP,20-CTU,B,,,,,
E-786,C4+ PRODUCT COOLER,HEAT EXCHANGER,23-OCU,,,C4+ Product Cooler,H-AES,,
E-730,SHU 2ND STAGE REACTOR HEATER,HEAT EXCHANGER,23-OCU,,,"SHU 2nd Stage 
Reactor Heater",H-BXU,,
E-761,OCT REACTOR EFFLUENT COOLER,HEAT EXCHANGER,23-OCU,,,"OCT Reactor
 Effluent Cooler",H-AES,,
E-762,OCU C2 FEED TREATER HEATER,HEAT EXCHANGER,23-OCU,,,OCU C2 Feed Treater Heater,Electric,,
F-870A,SRC REFLUX FILTERS,FILTER,24-ARU,A,,SRC Reflux Filters,,,
F-2400A,CW SIDE STREAM FILTER,FILTER,20-CTU,C,,,,,
F-2400F,CW SIDE STREAM FILTER,FILTER,20-CTU,C,,,,,
T-2400C,COOLING TOWER,COOLING TOWER,20-CTU,C,,,,,
SK-2600A,FLARE STACK,HP FLARE STACK,20-CTU,A,,,,,
SK-2600B,FLARE STACK,HP FLARE STACK,20-CTU,A,,,,,
F-3010B,CPI SEPARATOR,SEPARATOR,20-CTU,B,,,,,
TK-2161,NAOCL STORAGE TANK,TANK,20-CTU,B,,,,,
D-2010,LP CONDENSATE DRUM,DRUM,20-CTU,B,,LP CONDENSATE DRUM,Horizontal,3.5 / FV,130
D-2021,LP CONDENSATE DRUM,DRUM,20-CTU,C,,BOP Flash Tank,Vertical,3.5,200
DSH-2061A,DESUPERHEATER FOR FD FAN,DESUPERHEATER,20-CTU,C,,,,,
E-2021C,BFW PREHEATER,HEAT EXCHANGER,22-ORU,B,,,,,
TK-1540,BENZENE TANK,TANK,29-TFU,A,,Benzene,,,
TK-1560,MIXED XYLENE TANK,TANK,29-TFU,A,,Mixed Xylene,,,
ZZ-3040B,CARBON CANISTER AT TK-3040,CANISTER,20-CTU,C,,,,,
SEJ-1613,D-1610 DIKE EJECTOR,EJECTOR,29-TFU,C,,,,,
Z-3302,EXCESS SLUDGE BOX,MISCELLANEOUS ITEM,20-CTU,C,,,,,
ZZ-3040D,CARBON CANISTER AT D-3042,CANISTER,20-CTU,C,,,,,
ZZ-3011A,CARBON CANISTER AT PIT-3010,CANISTER,20-CTU,B,,,,,
ZZ-3060B,CARBON CANISTER AT HOLDING PIT,CANISTER,20-CTU,B,,,,,
ZZ-3082A,CARBON CANISTER AT NO.3 NEUTRALIZATION TANK,CANISTER,20-CTU,C,,,,,
PIT-3060A,CW BLOWDOWN HOLDING BASIN,PIT AND BASIN,20-CTU,B,,,,,
PIT-3340A,WASTE WATER CHECK BASIN,PIT AND BASIN,20-CTU,C,,,,,
ZZ-3073,WATER SEAL POT AT TK-3073,CANISTER,20-CTU,B,,,,,
D-2500,OSBL FUEL GAS DRUM,DRUM,20-CTU,A,,OSBL FUEL GAS DRUM,Vertical,6.5 / F.V.,120
F-678B,GAS FILTER (BUFFER GAS),FILTER,22-ORU,A,,,,,
X-3071,NO. 2 NEUTRALIZATION MIXER,MIXER,20-CTU,B,,,,,
P-227A,QUENCH OIL TOWER REFLUX PUMP,PUMP,22-ORU,A,,Quench Oil Tower Reflux Pump,Centrifugal,,
E-245C,DILUTION STEAM DRUM REBOILER,HEAT EXCHANGER,22-ORU,A,,Dilution Steam Drum Reboiler,V-BEL,,
E-241B,DILUTION STEAM DRUM FEED HEATER,HEAT EXCHANGER,22-ORU,A,,Dilution Steam Drum Feed Heater,H-BES,,
P-326B,DISTILLATE STRIPPER BOTTOMS PUMP,PUMP,22-ORU,B,,Distillate Stripper Bottoms Pump,Centrifugal,,
P-540A,C2 TOWER REFLUX PUMP,PUMP,22-ORU,A,,C2 Tower Reflux Pump,Centrifugal,,
P-651A,C3 TOWER NO.4 REFLUX PUMP,PUMP,22-ORU,A,,,,,
P-2023A,PH CONTROL AGENT PUMP FOR BFW,PUMP,20-CTU,B,,PH CONTROL AGENT PUMP FOR BFW,Metering,,
E-201B,LPS-2 GENERATOR,HEAT EXCHANGER,22-ORU,C,,LPS-2 Generator,H-BKM,,
E-245D,DILUTION STEAM DRUM REBOILER,HEAT EXCHANGER,22-ORU,A,,Dilution Steam Drum Reboiler,V-BEL,,
P-369A,CONDENSATE STRIPPER POLYMERIZATION INHIBITOR PUMP,PUMP,22-ORU,,,,,,
STR-540A,HV Strainer,STRAINER,22-ORU,B,,,,,
STR-540C,HV Strainer,STRAINER,22-ORU,,,,,,
P-641A,C3 TOWER NO. 2 REFLUX PUMP,PUMP,22-ORU,B,,C3 Tower No. 2 Reflux Pump,Centrifugal,,
PIT-3033,DIVERSION BOX NO. 3,PIT AND BASIN,20-CTU,,,,,,
P-3071B,NO. 1 H2SO4 PUMP,PUMP,20-CTU,B,,,,,
C-2050A,BOILER FORCE DRAFT FAN,FAN,20-CTU,A,,BOILER FAN FORCED DRAFT,Centrifugal,,40
STR-2012B,Strainer for P-2023 A/B,STRAINER,20-CTU,,,,,,
ZZ-2101A,GEAR REDUCER OF CLARIFIER,CLARIFIER,20-CTU,B,,,,,
P-2164B,POLYMER DOSING PUMP II (To Dewatering),PUMP,20-CTU,B,,,,,
P-2163C,POLYMER DOSING PUMP I (To Clarifier),PUMP,20-CTU,B,,,,,
P-2254B,HCl METERING PUMP FOR NWP,PUMP,20-CTU,B,,,,,
P-2412A,SCALE INHIBITOR TYPE 1 PUMP,PUMP,20-CTU,B,,,,,
P-2414A,CORROSION INHIBITOR TYPE 1 PUMP,PUMP,20-CTU,B,,,,,
P-2419A,98% H2S04  PUMP,PUMP,20-CTU,,,,,,
P-3321B,RETURN SLUDGE PUMP,PUMP,20-CTU,B,,,,,
P-3300B,EQUALIZATION PIT FEED PUMP,PUMP,20-CTU,B,,,,,
STR-4043,Fire Water to TK-1410 Strainer,STRAINER,20-CTU,B,,,,,
STR-4091,Fire water to Flare KO Drum Strainer,STRAINER,20-CTU,,,,,,
ZZ-103E,GK6 STEAMDRUM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
D-100G,SHP STEAM DRUM (LIQUID CRACKING FURNACE),DRUM,21-CFU,A,,,,,
STR-203A,PGO Strainer,STRAINER,22-ORU,,,,,,
P-2410B,SODIUM BROMIDE(NaBr) PUMP,PUMP,20-CTU,B,,,,,
TK-2418,ALGAECIDE (N-00005) TANK,TANK,20-CTU,,,,,,
P-2420B,MMF  FEED  PUMP  B,PUMP,20-CTU,B,,,,,
P-2420A,MMF  FEED  PUMP,PUMP,20-CTU,B,,,,,
TK-2421,RO  REJECTED  TANK,TANK,20-CTU,B,,,,,
STR-2601A,STRAINER FOR P-2601A/B,STRAINER,20-CTU,C,,,,,
C-3301B,MIXING BLOWER,BLOWER,20-CTU,C,,,,,
P-3360A,DECANTER WATER PIT PUMP,PUMP,20-CTU,B,,,,,
STR-4063,Fire Water to TK-1510 Strainer,STRAINER,20-CTU,,,,,,
STR-4021C,Fire Water Strainer,STRAINER,20-CTU,,,,,,
ZZ-146A,MP PURGE STEAM SYSTEM RELIEF VALVE SILENCER,SILENCER,21-CFU,,,,,,
ZZ-130B,DECOKE AIR SILENCER,SILENCER,21-CFU,A,,,,,
ZZ-101C,GK6 SHP STEAM START-UP SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
ZZ-2000B,SHP STEAM BLOWDOWN SYSTEM RELIEF VALVE SILENCER,SILENCER,21-CFU,B,,,,,
E-540A,C2 TOWER CONDENSER,HEAT EXCHANGER,22-ORU,A,,C2 Tower Condenser,"Core Block 
 Exchanger",,
F-216A,PYROLYSIS GAS OIL FILTER,FILTER,22-ORU,,,Pyrolysis Gas Oil Filter,Basket Type,205,27
STR-303,HV Strainer,STRAINER,22-ORU,,,,,,
D-304,CGC 4TH STAGE SUCTION DRUM,DRUM,22-ORU,A,,CGC 4th Stage Suction Drum,Vertical,120,15.0
STR-331A,BFW Strainer,STRAINER,22-ORU,,,,,,
STR-604C,HL Strainer,STRAINER,22-ORU,B,,,,,
T-651,C3 TOWER NO. 4,TOWER,22-ORU,A,,,,,
STR-693,C3R Strainer,STRAINER,22-ORU,,,,,,
DSH-701,E-705 DSH,DESUPERHEATER,22-ORU,,,E-705 DSH,,,
STR-3404B,WG Strainer,STRAINER,22-ORU,,,,,,
STR-2194B,BFW Desup MS-2 to LS-1 Strainer,STRAINER,20-CTU,,,,,,
STR-2193,BFW Desup SHPS to HS Strainer,STRAINER,20-CTU,,,,,,
P-3071A,NO. 1 H2SO4 PUMP,PUMP,20-CTU,B,,,,,
P-3081B,CONC. H2SO4 PUMP,PUMP,20-CTU,B,,,,,
P-3078A,H3PO4 PUMP,PUMP,20-CTU,C,,,,,
P-2020B,MP BOILER FEED WATER PUMP,PUMP,20-CTU,B,,MP BOILER FEED WATER PUMP,"Horizontal, Between Bearings",,
STR-2017,BFW Desup MS-1 to LS-1 Strainer,STRAINER,20-CTU,,,,,,
SK-2050A,BOILER STACK,BOILER STACK,20-CTU,A,,BOILER STACK,,,275
C-2051C,GAS RECIRCULATION FAN,FAN,20-CTU,B,,GAS RECIRCULATION FAN,Centrifugal,,218
STR-2011B,Strainer for P-2022 A/B,STRAINER,20-CTU,,,,,,
P-2161C,NaOCl DOSING PUMP,PUMP,20-CTU,B,,,,,
P-2262A,NaOH METERING PUMP II FOR MB,PUMP,20-CTU,B,,,,,
P-2203A,REGENERATION PUMP,PUMP,20-CTU,B,,,,,
STR-2415A,STRAINER FOR P-2415 A/B,STRAINER,20-CTU,C,,,,,
P-2422B,RO PERMEATE PUMP,PUMP,20-CTU,B,,,,,
P-2430C,WW TRANSFER PUMP C,PUMP,20-CTU,B,,,,,
P-2425B,COAGULANT PUMP B,PUMP,20-CTU,B,,,,,
P-2426B,PC191T PUMP B,PUMP,20-CTU,B,,,,,
P-2428B,50%H2S04 PUMP B,PUMP,20-CTU,B,,,,,
TK-2420,CW  B/D COLLECTION TANK,TANK,20-CTU,B,,,,,
P-3343B,NEUTRALIZATION WATER SEND OUT PUMP,PUMP,20-CTU,C,,,,,
P-3010A,CPI FEED PUMP,PUMP,20-CTU,B,,,,,
P-3351B,DECANTER FEED PUMP,PUMP,20-CTU,B,,,,,
STR-3072A,STRAINER FOR P-3072A/B,STRAINER,20-CTU,B,,,,,
STR-3051,STRAINER FOR P-3051,STRAINER,20-CTU,C,,,,,
STR-3076B,STRAINER FOR P-3076A/B,STRAINER,20-CTU,C,,,,,
ZZ-3074A,CARBON CANISTER AT F-3074,CANISTER,20-CTU,,,,,,
STR-4031C,Fire Water Strainer,STRAINER,20-CTU,B,,,,,
STR-4041,Fire Water to TK-1410 Strainer,STRAINER,20-CTU,B,,,,,
C-2101C,AIR COMPRESSOR,AIR COMPRESSOR,20-CTU,B,,,,,
P-2601B,OILY WATER PUMP,PUMP,20-CTU,C,,,,,
P-3070B,CONC. H2SO4 PUMP,PUMP,20-CTU,B,,,,,
P-3082A,H2SO4 PUMP,PUMP,20-CTU,B,,,,,
P-4003A,DIESEL ENGINE FIRE WATER PUMP,PUMP,20-CTU,,,,,,
STR-2021B,SSC from downstream Strainer,STRAINER,20-CTU,,,,,,
P-2021B,SHP BOILER FEED WATER PUMP,PUMP,20-CTU,A,,SHP BOILER FEED WATER PUMP,"Horizontal Barrel, Multistage",,
STR-2001B,STRAINER FOR P-2020 A/B/C,STRAINER,20-CTU,B,,,,,
CT-2050B,TURBINE FOR C-2050B,TURBINE,20-CTU,A,,TURBINE FOR C-2050A/B/C,Horizontal / Single stage,,
P-2162A,ALUM DOSING PUMP,PUMP,20-CTU,B,,,,,
P-2263B,CONDENSATE POLISHER CAUSTIC PUMP,PUMP,20-CTU,B,,,,,
P-2264A,NaOH METERING PUMP FOR NWP,PUMP,20-CTU,B,,,,,
P-2205B,NEUTRALIZATION PUMP,PUMP,20-CTU,B,,,,,
STR-2203B,STRAINER FOR P-2203A/B,STRAINER,20-CTU,C,,,,,
STR-2203A,STRAINER FOR P-2203A/B,STRAINER,20-CTU,C,,,,,
STR-2407,STRAINER FOR SEJ-2401,STRAINER,20-CTU,C,,,,,
P-2417B,98% H2SO4 PUMP,PUMP,20-CTU,C,,,,,
P-2430B,WW TRANSFER PUMP B,PUMP,20-CTU,B,,,,,
